Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Rajon Rondo (11726536),Rajon Rondo,11726536,PG/G/UTIL,5000,IND@LAL 11/29/2018 10:30PM ET,LAL,25.86
SG/SF,Tyreke Evans (11726539),Tyreke Evans,11726539,SG/SF/F/G/UTIL,5000,IND@LAL 11/29/2018 10:30PM ET,IND,20.79
C,Jonas Valanciunas (11726544),Jonas Valanciunas,11726544,C/UTIL,5000,GS@TOR 11/29/2018 08:00PM ET,TOR,26.49
PG,Shai Gilgeous-Alexander (11726546),Shai Gilgeous-Alexander,11726546,PG/G/UTIL,4900,LAC@SAC 11/29/2018 10:30PM ET,LAC,21.95
PG,Quinn Cook (11726549),Quinn Cook,11726549,PG/G/UTIL,4800,GS@TOR 11/29/2018 08:00PM ET,GS,19.17
PG,Darren Collison (11726552),Darren Collison,11726552,PG/G/UTIL,4700,IND@LAL 11/29/2018 10:30PM ET,IND,21.95
PG/SG,Fred VanVleet (11726555),Fred VanVleet,11726555,PG/SG/G/UTIL,4600,GS@TOR 11/29/2018 08:00PM ET,TOR,21.44
SF/PF,Thaddeus Young (11726559),Thaddeus Young,11726559,SF/PF/F/UTIL,4500,IND@LAL 11/29/2018 10:30PM ET,IND,21.27
PG,Cory Joseph (11726563),Cory Joseph,11726563,PG/G/UTIL,4400,IND@LAL 11/29/2018 10:30PM ET,IND,19.90
PG/SG,Patrick Beverley (11726566),Patrick Beverley,11726566,PG/SG/G/UTIL,4300,LAC@SAC 11/29/2018 10:30PM ET,LAC,19.61
SF/PF,Nemanja Bjelica (11726570),Nemanja Bjelica,11726570,SF/PF/F/UTIL,4200,LAC@SAC 11/29/2018 10:30PM ET,SAC,25.22
SG/SF,Danny Green (11726574),Danny Green,11726574,SG/SF/F/G/UTIL,4100,GS@TOR 11/29/2018 08:00PM ET,TOR,20.12
SF/PF,Jonas Jerebko (11726582),Jonas Jerebko,11726582,SF/PF/F/UTIL,3900,GS@TOR 11/29/2018 08:00PM ET,GS,16.92
SG,Avery Bradley (11726579),Avery Bradley,11726579,SG/G/UTIL,3900,LAC@SAC 11/29/2018 10:30PM ET,LAC,12.96
SG/SF,Andre Iguodala (11726591),Andre Iguodala,11726591,SG/SF/F/G/UTIL,3800,GS@TOR 11/29/2018 08:00PM ET,GS,15.25
PF/C,Kevon Looney (11726614),Kevon Looney,11726614,PF/C/F/UTIL,3800,GS@TOR 11/29/2018 08:00PM ET,GS,16.59
SG/SF,Lance Stephenson (11726586),Lance Stephenson,11726586,SG/SF/F/G/UTIL,3700,IND@LAL 11/29/2018 10:30PM ET,LAL,17.4
PG,Aaron Holiday (11726604),Aaron Holiday,11726604,PG/G/UTIL,3700,IND@LAL 11/29/2018 10:30PM ET,IND,11.84
C,Marcin Gortat (11726612),Marcin Gortat,11726612,C/UTIL,3700,LAC@SAC 11/29/2018 10:30PM ET,LAC,15.97
SG,Josh Hart (11726596),Josh Hart,11726596,SG/G/UTIL,3600,IND@LAL 11/29/2018 10:30PM ET,LAL,19.69
SG/SF,Kentavious Caldwell-Pope (11726599),Kentavious Caldwell-Pope,11726599,SG/SF/F/G/UTIL,3600,IND@LAL 11/29/2018 10:30PM ET,LAL,13.51
SG/SF,Iman Shumpert (11726607),Iman Shumpert,11726607,SG/SF/F/G/UTIL,3600,LAC@SAC 11/29/2018 10:30PM ET,SAC,20.41
SF/PF,Doug McDermott (11726618),Doug McDermott,11726618,SF/PF/F/UTIL,3500,IND@LAL 11/29/2018 10:30PM ET,IND,11.36
SF,OG Anunoby (11726624),OG Anunoby,11726624,SF/F/UTIL,3500,GS@TOR 11/29/2018 08:00PM ET,TOR,15
C,Boban Marjanovic (11726622),Boban Marjanovic,11726622,C/UTIL,3500,LAC@SAC 11/29/2018 10:30PM ET,LAC,17.67
PF,Jordan Bell (11726627),Jordan Bell,11726627,PF/F/UTIL,3400,GS@TOR 11/29/2018 08:00PM ET,GS,10.76
PG/SG,Delon Wright (11726630),Delon Wright,11726630,PG/SG/G/UTIL,3400,GS@TOR 11/29/2018 08:00PM ET,TOR,12.68
C,Damian Jones (11726634),Damian Jones,11726634,C/UTIL,3400,GS@TOR 11/29/2018 08:00PM ET,GS,14.18
SF/PF,Mike Scott (11726636),Mike Scott,11726636,SF/PF/F/UTIL,3400,LAC@SAC 11/29/2018 10:30PM ET,LAC,12.19
PF/C,Kyle O'Quinn (11726645),Kyle O'Quinn,11726645,PF/C/F/UTIL,3300,IND@LAL 11/29/2018 10:30PM ET,IND,7.83
PF,Harry Giles (11726640),Harry Giles,11726640,PF/F/UTIL,3300,LAC@SAC 11/29/2018 10:30PM ET,SAC,12.22
C,Greg Monroe (11726643),Greg Monroe,11726643,C/UTIL,3200,GS@TOR 11/29/2018 08:00PM ET,TOR,8.25
PG,Lorenzo Brown (11726649),Lorenzo Brown,11726649,PG/G/UTIL,3200,GS@TOR 11/29/2018 08:00PM ET,TOR,7.29
SG,Malachi Richardson (11726652),Malachi Richardson,11726652,SG/G/UTIL,3200,GS@TOR 11/29/2018 08:00PM ET,TOR,2.64
C,Tyson Chandler (11726655),Tyson Chandler,11726655,C/UTIL,3100,IND@LAL 11/29/2018 10:30PM ET,LAL,12.65
PF,TJ Leaf (11726657),TJ Leaf,11726657,PF/F/UTIL,3100,IND@LAL 11/29/2018 10:30PM ET,IND,4.71
SG/SF,C.J. Miles (11726660),C.J. Miles,11726660,SG/SF/F/G/UTIL,3100,GS@TOR 11/29/2018 08:00PM ET,TOR,10.47
SG/SF,Norman Powell (11726665),Norman Powell,11726665,SG/SF/F/G/UTIL,3100,GS@TOR 11/29/2018 08:00PM ET,TOR,11
PF,Alfonzo McKinnie (11726670),Alfonzo McKinnie,11726670,PF/F/UTIL,3100,GS@TOR 11/29/2018 08:00PM ET,GS,12.86
SF/PF,Michael Beasley (11726673),Michael Beasley,11726673,SF/PF/F/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,LAL,4.95
PF,Johnathan Williams (11726677),Johnathan Williams,11726677,PF/F/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,LAL,10.38
SG,Sviatoslav Mykhailiuk (11726680),Sviatoslav Mykhailiuk,11726680,SG/G/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,LAL,5.15
SG,Alex Caruso (11726683),Alex Caruso,11726683,SG/G/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,LAL,0
C,Moritz Wagner (11726686),Moritz Wagner,11726686,C/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,LAL,1.38
C,Ivica Zubac (11726688),Ivica Zubac,11726688,C/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,LAL,7.88
C,Isaac Bonga (11726690),Isaac Bonga,11726690,C/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,LAL,0
PF,Alize Johnson (11726692),Alize Johnson,11726692,PF/F/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,IND,2.33
PF/C,Ike Anigbogu (11726695),Ike Anigbogu,11726695,PF/C/F/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,IND,2.25
PG,Edmond Sumner (11726699),Edmond Sumner,11726699,PG/G/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,IND,1.54
SG,Davon Reed (11726702),Davon Reed,11726702,SG/G/UTIL,3000,IND@LAL 11/29/2018 10:30PM ET,IND,0
PG,Jordan Loyd (11726705),Jordan Loyd,11726705,PG/G/UTIL,3000,GS@TOR 11/29/2018 08:00PM ET,TOR,6.75
PF,Chris Boucher (11726708),Chris Boucher,11726708,PF/F/UTIL,3000,GS@TOR 11/29/2018 08:00PM ET,TOR,9.42
SG,Damion Lee (11726711),Damion Lee,11726711,SG/G/UTIL,3000,GS@TOR 11/29/2018 08:00PM ET,GS,10.12
PG,Shaun Livingston (11726714),Shaun Livingston,11726714,PG/G/UTIL,3000,GS@TOR 11/29/2018 08:00PM ET,GS,12.67
SG,Jacob Evans III (11726717),Jacob Evans III,11726717,SG/G/UTIL,3000,GS@TOR 11/29/2018 08:00PM ET,GS,2.69
SF,Marcus Derrickson (11726720),Marcus Derrickson,11726720,SF/F/UTIL,3000,GS@TOR 11/29/2018 08:00PM ET,GS,1.38
PF/C,Skal Labissiere (11726723),Skal Labissiere,11726723,PF/C/F/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,SAC,5.11
SF,Wenyen Gabriel (11726727),Wenyen Gabriel,11726727,SF/F/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,SAC,0
SG,Troy Williams (11726730),Troy Williams,11726730,SG/G/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,SAC,12.45
PG/SG,Yogi Ferrell (11726733),Yogi Ferrell,11726733,PG/SG/G/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,SAC,10.62
SG/SF,Ben McLemore (11726737),Ben McLemore,11726737,SG/SF/F/G/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,SAC,2.75
C,Kosta Koufos (11726742),Kosta Koufos,11726742,C/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,SAC,14.93
PF/C,Zach Randolph (11726744),Zach Randolph,11726744,PF/C/F/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,SAC,0
PG,Milos Teodosic (11726748),Milos Teodosic,11726748,PG/G/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,LAC,8.56
SF,Johnathan Motley (11726751),Johnathan Motley,11726751,SF/F/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,LAC,0
C,Angel Delgado (11726754),Angel Delgado,11726754,C/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,LAC,0
PG/SG,Tyrone Wallace (11726756),Tyrone Wallace,11726756,PG/SG/G/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,LAC,5.55
SG,Sindarius Thornwell (11726760),Sindarius Thornwell,11726760,SG/G/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,LAC,3.96
SF/PF,Luc Richard Mbah a Moute (11726763),Luc Richard Mbah a Moute,11726763,SF/PF/F/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,LAC,8.94
SG,Jerome Robinson (11726767),Jerome Robinson,11726767,SG/G/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,LAC,4.32
SF,Justin Jackson (11726770),Justin Jackson,11726770,SF/F/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,SAC,13.84
PG,Frank Mason III (11726773),Frank Mason III,11726773,PG/G/UTIL,3000,LAC@SAC 11/29/2018 10:30PM ET,SAC,12.95
