Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kevin Durant (11726436),Kevin Durant,11726436,SF/PF/F/UTIL,11000,GS@TOR 11/29/2018 08:00PM ET,GS,51.90
SF/PF,LeBron James (11726440),LeBron James,11726440,SF/PF/F/UTIL,10700,IND@LAL 11/29/2018 10:30PM ET,LAL,52.38
PG/SG,Stephen Curry (11726444),Stephen Curry,11726444,PG/SG/G/UTIL,9500,GS@TOR 11/29/2018 08:00PM ET,GS,48.62
SF/PF,Kawhi Leonard (11726448),Kawhi Leonard,11726448,SF/PF/F/UTIL,9300,GS@TOR 11/29/2018 08:00PM ET,TOR,44.45
PG/SG,Victor Oladipo (11726452),Victor Oladipo,11726452,PG/SG/G/UTIL,8800,IND@LAL 11/29/2018 10:30PM ET,IND,41.31
SF/PF,Tobias Harris (11726456),Tobias Harris,11726456,SF/PF/F/UTIL,8200,LAC@SAC 11/29/2018 10:30PM ET,LAC,38.4
PG,Kyle Lowry (11726460),Kyle Lowry,11726460,PG/G/UTIL,8000,GS@TOR 11/29/2018 08:00PM ET,TOR,40.08
PF/C,Montrezl Harrell (11726463),Montrezl Harrell,11726463,PF/C/F/UTIL,7600,LAC@SAC 11/29/2018 10:30PM ET,LAC,32.85
PF/C,Domantas Sabonis (11726467),Domantas Sabonis,11726467,PF/C/F/UTIL,7500,IND@LAL 11/29/2018 10:30PM ET,IND,33.9
SG,Klay Thompson (11726471),Klay Thompson,11726471,SG/G/UTIL,7400,GS@TOR 11/29/2018 08:00PM ET,GS,33.78
PG,De'Aaron Fox (11726474),De'Aaron Fox,11726474,PG/G/UTIL,7200,LAC@SAC 11/29/2018 10:30PM ET,SAC,36.58
PF/C,Draymond Green (11726477),Draymond Green,11726477,PF/C/F/UTIL,7000,GS@TOR 11/29/2018 08:00PM ET,GS,31.12
SF/PF,Danilo Gallinari (11726481),Danilo Gallinari,11726481,SF/PF/F/UTIL,6500,LAC@SAC 11/29/2018 10:30PM ET,LAC,32.47
C,Myles Turner (11726485),Myles Turner,11726485,C/UTIL,6200,IND@LAL 11/29/2018 10:30PM ET,IND,26.7
PF,Pascal Siakam (11726491),Pascal Siakam,11726491,PF/F/UTIL,6100,GS@TOR 11/29/2018 08:00PM ET,TOR,29.62
PF/C,DeMarcus Cousins (11726487),DeMarcus Cousins,11726487,PF/C/F/UTIL,6000,GS@TOR 11/29/2018 08:00PM ET,GS,0
C,Willie Cauley-Stein (11726494),Willie Cauley-Stein,11726494,C/UTIL,5900,LAC@SAC 11/29/2018 10:30PM ET,SAC,30.82
SG/SF,Brandon Ingram (11726496),Brandon Ingram,11726496,SG/SF/F/G/UTIL,5800,IND@LAL 11/29/2018 10:30PM ET,LAL,26.27
PG,Lonzo Ball (11726506),Lonzo Ball,11726506,PG/G/UTIL,5700,IND@LAL 11/29/2018 10:30PM ET,LAL,24.11
SG/SF,Buddy Hield (11726501),Buddy Hield,11726501,SG/SF/F/G/UTIL,5700,LAC@SAC 11/29/2018 10:30PM ET,SAC,31.94
SF/PF,Kyle Kuzma (11726517),Kyle Kuzma,11726517,SF/PF/F/UTIL,5600,IND@LAL 11/29/2018 10:30PM ET,LAL,27.22
PG/SG,Lou Williams (11726509),Lou Williams,11726509,PG/SG/G/UTIL,5600,LAC@SAC 11/29/2018 10:30PM ET,LAC,28.88
PF/C,Serge Ibaka (11726513),Serge Ibaka,11726513,PF/C/F/UTIL,5500,GS@TOR 11/29/2018 08:00PM ET,TOR,31.76
SG/SF,Bojan Bogdanovic (11726524),Bojan Bogdanovic,11726524,SG/SF/F/G/UTIL,5300,IND@LAL 11/29/2018 10:30PM ET,IND,24.21
PF,Marvin Bagley III (11726521),Marvin Bagley III,11726521,PF/F/UTIL,5300,LAC@SAC 11/29/2018 10:30PM ET,SAC,25.04
SG/SF,Bogdan Bogdanovic (11726529),Bogdan Bogdanovic,11726529,SG/SF/F/G/UTIL,5200,LAC@SAC 11/29/2018 10:30PM ET,SAC,23.14
C,JaVale McGee (11726534),JaVale McGee,11726534,C/UTIL,5100,IND@LAL 11/29/2018 10:30PM ET,LAL,28.79
