Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Isaac Bonga (11701424),Isaac Bonga,11701424,C/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,LAL,0
SG,Wes Iwundu (11701467),Wes Iwundu,11701467,SG/G/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,ORL,10.65
SG,Troy Daniels (11701426),Troy Daniels,11701426,SG/G/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,PHO,6.6
PG/SG,Jamal Crawford (11701429),Jamal Crawford,11701429,PG/SG/G/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,PHO,10.33
PF/C,Ryan Anderson (11701433),Ryan Anderson,11701433,PF/C/F/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,PHO,11.21
SG,De'Anthony Melton (11701437),De'Anthony Melton,11701437,SG/G/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,PHO,8
PF,Dragan Bender (11701440),Dragan Bender,11701440,PF/F/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,PHO,2.17
PG,Elie Okobo (11701443),Elie Okobo,11701443,PG/G/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,PHO,11.77
SF,George King (11701446),George King,11701446,SF/F/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,PHO,0
SG,Bruce Brown Jr. (11701449),Bruce Brown Jr.,11701449,SG/G/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,DET,7.89
PG,Keenan Evans (11701452),Keenan Evans,11701452,PG/G/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,DET,0
SG,Khyri Thomas (11701455),Khyri Thomas,11701455,SG/G/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,DET,2.88
PF,Henry Ellenson (11701458),Henry Ellenson,11701458,PF/F/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,DET,11.25
PG,Zach Lofton (11701461),Zach Lofton,11701461,PG/G/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,DET,1.5
PG,Jose Calderon (11701464),Jose Calderon,11701464,PG/G/UTIL,3000,PHO@DET 11/25/2018 04:00PM ET,DET,5.96
