Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,LeBron James (11701250),LeBron James,11701250,SF/PF/F/UTIL,11200,ORL@LAL 11/25/2018 03:30PM ET,LAL,54.24
C,Andre Drummond (11701254),Andre Drummond,11701254,C/UTIL,9500,PHO@DET 11/25/2018 04:00PM ET,DET,47.97
PF/C,Blake Griffin (11701256),Blake Griffin,11701256,PF/C/F/UTIL,9300,PHO@DET 11/25/2018 04:00PM ET,DET,48.22
PG/SG,Devin Booker (11701260),Devin Booker,11701260,PG/SG/G/UTIL,8600,PHO@DET 11/25/2018 04:00PM ET,PHO,41.38
C,Nikola Vucevic (11701264),Nikola Vucevic,11701264,C/UTIL,8200,ORL@LAL 11/25/2018 03:30PM ET,ORL,43.34
SF/PF,Aaron Gordon (11701266),Aaron Gordon,11701266,SF/PF/F/UTIL,7500,ORL@LAL 11/25/2018 03:30PM ET,ORL,34.83
C,Deandre Ayton (11701270),Deandre Ayton,11701270,C/UTIL,6600,PHO@DET 11/25/2018 04:00PM ET,PHO,35.85
SF/PF,T.J. Warren (11701272),T.J. Warren,11701272,SF/PF/F/UTIL,6300,PHO@DET 11/25/2018 04:00PM ET,PHO,29.18
SG/SF,Brandon Ingram (11701276),Brandon Ingram,11701276,SG/SF/F/G/UTIL,5900,ORL@LAL 11/25/2018 03:30PM ET,LAL,26.55
SG/SF,Evan Fournier (11701281),Evan Fournier,11701281,SG/SF/F/G/UTIL,5700,ORL@LAL 11/25/2018 03:30PM ET,ORL,29.08
C,JaVale McGee (11701286),JaVale McGee,11701286,C/UTIL,5600,ORL@LAL 11/25/2018 03:30PM ET,LAL,29.31
PG,Lonzo Ball (11701288),Lonzo Ball,11701288,PG/G/UTIL,5500,ORL@LAL 11/25/2018 03:30PM ET,LAL,24.39
SF/PF,Trevor Ariza (11701291),Trevor Ariza,11701291,SF/PF/F/UTIL,5400,PHO@DET 11/25/2018 04:00PM ET,PHO,25.78
PG/SG,Reggie Jackson (11701295),Reggie Jackson,11701295,PG/SG/G/UTIL,5200,PHO@DET 11/25/2018 04:00PM ET,DET,26.02
PG,Rajon Rondo (11701299),Rajon Rondo,11701299,PG/G/UTIL,5000,ORL@LAL 11/25/2018 03:30PM ET,LAL,25.86
SF/PF,Kyle Kuzma (11701302),Kyle Kuzma,11701302,SF/PF/F/UTIL,5000,ORL@LAL 11/25/2018 03:30PM ET,LAL,26.54
SG/SF,Terrence Ross (11701306),Terrence Ross,11701306,SG/SF/F/G/UTIL,4300,ORL@LAL 11/25/2018 03:30PM ET,ORL,22.43
SG/SF,Reggie Bullock (11701311),Reggie Bullock,11701311,SG/SF/F/G/UTIL,4100,PHO@DET 11/25/2018 04:00PM ET,DET,19.81
PG,D.J. Augustin (11701316),D.J. Augustin,11701316,PG/G/UTIL,4000,ORL@LAL 11/25/2018 03:30PM ET,ORL,21.87
SG/SF,Kentavious Caldwell-Pope (11701319),Kentavious Caldwell-Pope,11701319,SG/SF/F/G/UTIL,3700,ORL@LAL 11/25/2018 03:30PM ET,LAL,13.58
PF,Jonathan Isaac (11701324),Jonathan Isaac,11701324,PF/F/UTIL,3700,ORL@LAL 11/25/2018 03:30PM ET,ORL,19.33
SF,Mikal Bridges (11701327),Mikal Bridges,11701327,SF/F/UTIL,3700,PHO@DET 11/25/2018 04:00PM ET,PHO,15.68
PG/SG,Langston Galloway (11701330),Langston Galloway,11701330,PG/SG/G/UTIL,3600,PHO@DET 11/25/2018 04:00PM ET,DET,16.2
SG,Josh Hart (11701340),Josh Hart,11701340,SG/G/UTIL,3500,ORL@LAL 11/25/2018 03:30PM ET,LAL,20.78
PG,Ish Smith (11701337),Ish Smith,11701337,PG/G/UTIL,3500,PHO@DET 11/25/2018 04:00PM ET,DET,19.03
C,Mohamed Bamba (11701343),Mohamed Bamba,11701343,C/UTIL,3400,ORL@LAL 11/25/2018 03:30PM ET,ORL,17.18
PG,Isaiah Canaan (11701334),Isaiah Canaan,11701334,PG/G/UTIL,3400,PHO@DET 11/25/2018 04:00PM ET,PHO,17.62
SF,Josh Jackson (11701345),Josh Jackson,11701345,SF/F/UTIL,3400,PHO@DET 11/25/2018 04:00PM ET,PHO,13.92
SF/PF,Glenn Robinson III (11701348),Glenn Robinson III,11701348,SF/PF/F/UTIL,3400,PHO@DET 11/25/2018 04:00PM ET,DET,10.22
SF/PF,Stanley Johnson (11701352),Stanley Johnson,11701352,SF/PF/F/UTIL,3400,PHO@DET 11/25/2018 04:00PM ET,DET,18.08
SG/SF,Jonathon Simmons (11701356),Jonathon Simmons,11701356,SG/SF/F/G/UTIL,3300,ORL@LAL 11/25/2018 03:30PM ET,ORL,15.41
SG/SF,Lance Stephenson (11701361),Lance Stephenson,11701361,SG/SF/F/G/UTIL,3300,ORL@LAL 11/25/2018 03:30PM ET,LAL,17.21
PG,Jerian Grant (11701370),Jerian Grant,11701370,PG/G/UTIL,3200,ORL@LAL 11/25/2018 03:30PM ET,ORL,14.49
PF/C,Richaun Holmes (11701366),Richaun Holmes,11701366,PF/C/F/UTIL,3200,PHO@DET 11/25/2018 04:00PM ET,PHO,12.06
C,Zaza Pachulia (11701373),Zaza Pachulia,11701373,C/UTIL,3200,PHO@DET 11/25/2018 04:00PM ET,DET,11.16
C,Tyson Chandler (11701380),Tyson Chandler,11701380,C/UTIL,3100,ORL@LAL 11/25/2018 03:30PM ET,LAL,13
SG/SF,Luke Kennard (11701375),Luke Kennard,11701375,SG/SF/F/G/UTIL,3100,PHO@DET 11/25/2018 04:00PM ET,DET,10.58
PF/C,Jon Leuer (11701382),Jon Leuer,11701382,PF/C/F/UTIL,3100,PHO@DET 11/25/2018 04:00PM ET,DET,6.03
SG,Troy Caupain (11701386),Troy Caupain,11701386,SG/G/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,ORL,0
PF/C,Jarell Martin (11701389),Jarell Martin,11701389,PF/C/F/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,ORL,7.82
SF,Melvin Frazier (11701393),Melvin Frazier,11701393,SF/F/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,ORL,-0.25
PG,Isaiah Briscoe (11701396),Isaiah Briscoe,11701396,PG/G/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,ORL,4.06
C,Timofey Mozgov (11701399),Timofey Mozgov,11701399,C/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,ORL,0
PF,Khem Birch (11701401),Khem Birch,11701401,PF/F/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,ORL,4.61
PF,Amile Jefferson (11701404),Amile Jefferson,11701404,PF/F/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,ORL,0
SF/PF,Michael Beasley (11701407),Michael Beasley,11701407,SF/PF/F/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,LAL,4
SG,Alex Caruso (11701411),Alex Caruso,11701411,SG/G/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,LAL,0
PF,Johnathan Williams (11701414),Johnathan Williams,11701414,PF/F/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,LAL,10.38
SG,Sviatoslav Mykhailiuk (11701417),Sviatoslav Mykhailiuk,11701417,SG/G/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,LAL,5.06
C,Moritz Wagner (11701420),Moritz Wagner,11701420,C/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,LAL,0
C,Ivica Zubac (11701422),Ivica Zubac,11701422,C/UTIL,3000,ORL@LAL 11/25/2018 03:30PM ET,LAL,8.65
