Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
SF/PF,Nemanja Bjelica (11748728),Nemanja Bjelica,11748728,SF/PF/F/UTIL,3900,SAC@PHO 12/04/2018 09:00PM ET,SAC,24.83,0.636666667
PF/C,Bobby Portis (11748653),Bobby Portis,11748653,PF/C/F/UTIL,5000,CHI@IND 12/04/2018 07:00PM ET,CHI,29.12,0.5824
C,Wendell Carter Jr. (11748665),Wendell Carter Jr.,11748665,C/UTIL,4800,CHI@IND 12/04/2018 07:00PM ET,CHI,27.43,0.571458333
C,Pau Gasol (11748747),Pau Gasol,11748747,C/UTIL,3800,SA@UTA 12/04/2018 09:00PM ET,SA,21.64,0.569473684
SG/SF,Evan Turner (11748718),Evan Turner,11748718,SG/SF/F/G/UTIL,4000,POR@DAL 12/04/2018 08:30PM ET,POR,22.51,0.56275
PF/C,Derrick Favors (11748691),Derrick Favors,11748691,PF/C/F/UTIL,4400,SA@UTA 12/04/2018 09:00PM ET,UTA,24.42,0.555
PG/SF,Justise Winslow (11748710),Justise Winslow,11748710,PG/SF/F/G/UTIL,4100,ORL@MIA 12/04/2018 07:30PM ET,MIA,22.43,0.547073171
C,Deandre Ayton (11748558),Deandre Ayton,11748558,C/UTIL,6500,SAC@PHO 12/04/2018 09:00PM ET,PHO,35.36,0.544
SG/SF,Joe Ingles (11748635),Joe Ingles,11748635,SG/SF/F/G/UTIL,5100,SA@UTA 12/04/2018 09:00PM ET,UTA,27.62,0.541568627
PG/SG,Patty Mills (11748776),Patty Mills,11748776,PG/SG/G/UTIL,3600,SA@UTA 12/04/2018 09:00PM ET,SA,19.44,0.54
PG/SG,Bryn Forbes (11748765),Bryn Forbes,11748765,PG/SG/G/UTIL,3700,SA@UTA 12/04/2018 09:00PM ET,SA,19.73,0.533243243
SG/SF,Iman Shumpert (11748760),Iman Shumpert,11748760,SG/SF/F/G/UTIL,3700,SAC@PHO 12/04/2018 09:00PM ET,SAC,19.72,0.532972973
SG/SF,Wesley Matthews (11748676),Wesley Matthews,11748676,SG/SF/F/G/UTIL,4700,POR@DAL 12/04/2018 08:30PM ET,DAL,24.88,0.529361702
SG/SF,Buddy Hield (11748570),Buddy Hield,11748570,SG/SF/F/G/UTIL,6000,SAC@PHO 12/04/2018 09:00PM ET,SAC,31.3,0.521666667
SG/SF,Rodney McGruder (11748671),Rodney McGruder,11748671,SG/SF/F/G/UTIL,4700,ORL@MIA 12/04/2018 07:30PM ET,MIA,24.5,0.521276596
SG/SF,Evan Fournier (11748622),Evan Fournier,11748622,SG/SF/F/G/UTIL,5300,ORL@MIA 12/04/2018 07:30PM ET,ORL,27.38,0.516603774
SF/PF,Rudy Gay (11748607),Rudy Gay,11748607,SF/PF/F/UTIL,5500,SA@UTA 12/04/2018 09:00PM ET,SA,28.32,0.514909091
SG/SF,Justin Holiday (11748614),Justin Holiday,11748614,SG/SF/F/G/UTIL,5400,CHI@IND 12/04/2018 07:00PM ET,CHI,27.72,0.513333333
C,Hassan Whiteside (11748517),Hassan Whiteside,11748517,C/UTIL,7700,ORL@MIA 12/04/2018 07:30PM ET,MIA,39.5,0.512987013
SG/SF,DeMar DeRozan (11748504),DeMar DeRozan,11748504,SG/SF/F/G/UTIL,8300,SA@UTA 12/04/2018 09:00PM ET,SA,42.28,0.50939759
C,Nikola Vucevic (11748492),Nikola Vucevic,11748492,C/UTIL,9000,ORL@MIA 12/04/2018 07:30PM ET,ORL,45.72,0.508
