Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Wenyen Gabriel (11695599),Wenyen Gabriel,11695599,SF/F/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,SAC,0
C,Kosta Koufos (11695602),Kosta Koufos,11695602,C/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,SAC,14.93
PF/C,Zach Randolph (11695604),Zach Randolph,11695604,PF/C/F/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,SAC,0
SG/SF,Ben McLemore (11695608),Ben McLemore,11695608,SG/SF/F/G/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,SAC,3
PG/SG,Yogi Ferrell (11695613),Yogi Ferrell,11695613,PG/SG/G/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,SAC,10.82
SG,Damion Lee (11695617),Damion Lee,11695617,SG/G/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,GS,10.03
PG,Shaun Livingston (11695620),Shaun Livingston,11695620,PG/G/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,GS,12.96
SF,Marcus Derrickson (11695623),Marcus Derrickson,11695623,SF/F/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,GS,1.38
SG,Jacob Evans III (11695626),Jacob Evans III,11695626,SG/G/UTIL,3000,SAC@GS 11/24/2018 08:30PM ET,GS,2.93
SF,Kostas Antetokounmpo (11695629),Kostas Antetokounmpo,11695629,SF/F/UTIL,3000,BOS@DAL 11/24/2018 08:30PM ET,DAL,0
PF,Ray Spalding (11695632),Ray Spalding,11695632,PF/F/UTIL,3000,BOS@DAL 11/24/2018 08:30PM ET,DAL,0
PG,Daryl Macon (11695635),Daryl Macon,11695635,PG/G/UTIL,3000,BOS@DAL 11/24/2018 08:30PM ET,DAL,0
C,Salah Mejri (11695638),Salah Mejri,11695638,C/UTIL,3000,BOS@DAL 11/24/2018 08:30PM ET,DAL,5.81
