Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Marcus Morris (11695104),Marcus Morris,11695104,SF/PF/F/UTIL,5300,BOS@DAL 11/24/2018 08:30PM ET,BOS,25.35
PG/SG,Jordan Clarkson (11695108),Jordan Clarkson,11695108,PG/SG/G/UTIL,5200,HOU@CLE 11/24/2018 07:30PM ET,CLE,24.19
PG,Collin Sexton (11695112),Collin Sexton,11695112,PG/G/UTIL,5100,HOU@CLE 11/24/2018 07:30PM ET,CLE,21.32
C,Brook Lopez (11695115),Brook Lopez,11695115,C/UTIL,5100,SA@MIL 11/24/2018 08:30PM ET,MIL,22.90
PG,Dennis Smith Jr. (11695117),Dennis Smith Jr.,11695117,PG/G/UTIL,5100,BOS@DAL 11/24/2018 08:30PM ET,DAL,25.36
PG/SG,Malcolm Brogdon (11695120),Malcolm Brogdon,11695120,PG/SG/G/UTIL,5000,SA@MIL 11/24/2018 08:30PM ET,MIL,25.69
PF,Lauri Markkanen (11695124),Lauri Markkanen,11695124,PF/F/UTIL,5000,CHI@MIN 11/24/2018 08:00PM ET,CHI,0
PF/C,Bobby Portis (11695127),Bobby Portis,11695127,PF/C/F/UTIL,5000,CHI@MIN 11/24/2018 08:00PM ET,CHI,29.12
PG,Quinn Cook (11695131),Quinn Cook,11695131,PG/G/UTIL,4900,SAC@GS 11/24/2018 08:30PM ET,GS,18.52
SG/SF,Wesley Matthews (11695134),Wesley Matthews,11695134,SG/SF/F/G/UTIL,4900,BOS@DAL 11/24/2018 08:30PM ET,DAL,25.92
SF,Cedi Osman (11695139),Cedi Osman,11695139,SF/F/UTIL,4800,HOU@CLE 11/24/2018 07:30PM ET,CLE,23.98
SF/PF,Juancho Hernangomez (11695142),Juancho Hernangomez,11695142,SF/PF/F/UTIL,4700,DEN@OKC 11/24/2018 08:00PM ET,DEN,18.12
SG/SF,Justin Holiday (11695146),Justin Holiday,11695146,SG/SF/F/G/UTIL,4600,CHI@MIN 11/24/2018 08:00PM ET,CHI,26.38
PF,Dario Saric (11695151),Dario Saric,11695151,PF/F/UTIL,4600,CHI@MIN 11/24/2018 08:00PM ET,MIN,22.36
SG/SF,Eric Gordon (11695158),Eric Gordon,11695158,SG/SF/F/G/UTIL,4500,HOU@CLE 11/24/2018 07:30PM ET,HOU,22.41
SF/PF,Markieff Morris (11695163),Markieff Morris,11695163,SF/PF/F/UTIL,4500,NO@WAS 11/24/2018 08:00PM ET,WAS,21.16
PF,Marvin Bagley III (11695167),Marvin Bagley III,11695167,PF/F/UTIL,4500,SAC@GS 11/24/2018 08:30PM ET,SAC,23.67
PG/SG,J.J. Barea (11695154),J.J. Barea,11695154,PG/SG/G/UTIL,4500,BOS@DAL 11/24/2018 08:30PM ET,DAL,22.67
SG/SF,Kelly Oubre Jr. (11695174),Kelly Oubre Jr.,11695174,SG/SF/F/G/UTIL,4400,NO@WAS 11/24/2018 08:00PM ET,WAS,21.68
SF/PF,Jerami Grant (11695170),Jerami Grant,11695170,SF/PF/F/UTIL,4400,DEN@OKC 11/24/2018 08:00PM ET,OKC,24.04
SG/SF,Rodney Hood (11695190),Rodney Hood,11695190,SG/SF/F/G/UTIL,4300,HOU@CLE 11/24/2018 07:30PM ET,CLE,21.94
