Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
PG/SG,Devin Harris (11615556),Devin Harris,11615556,PG/SG/G/UTIL,3200,DAL@CHI 11/12/2018 08:00PM ET,DAL,8.88,0.2775
PG,Jalen Brunson (11615590),Jalen Brunson,11615590,PG/G/UTIL,3100,DAL@CHI 11/12/2018 08:00PM ET,DAL,8.54,0.275483871
SG,Troy Daniels (11615895),Troy Daniels,11615895,SG/G/UTIL,3000,PHO@OKC 11/12/2018 08:00PM ET,PHO,8.25,0.275
PF,Harry Giles (11615639),Harry Giles,11615639,PF/F/UTIL,3100,SA@SAC 11/12/2018 10:00PM ET,SAC,8.44,0.272258065
SF,Terrance Ferguson (11615542),Terrance Ferguson,11615542,SF/F/UTIL,3300,PHO@OKC 11/12/2018 08:00PM ET,OKC,8.77,0.265757576
PF,Jordan Bell (11615320),Jordan Bell,11615320,PF/F/UTIL,4000,GS@LAC 11/12/2018 10:30PM ET,GS,10.52,0.263
PF,Khem Birch (11615720),Khem Birch,11615720,PF/F/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,ORL,7.88,0.262666667
PG/SG,Tim Frazier (11615529),Tim Frazier,11615529,PG/SG/G/UTIL,3300,NO@TOR 11/12/2018 07:30PM ET,NO,8.47,0.256666667
PF/C,Richaun Holmes (11615476),Richaun Holmes,11615476,PF/C/F/UTIL,3400,PHO@OKC 11/12/2018 08:00PM ET,PHO,8.66,0.254705882
C,Jakob Poeltl (11615637),Jakob Poeltl,11615637,C/UTIL,3100,SA@SAC 11/12/2018 10:00PM ET,SA,7.86,0.253548387
PF,Georges Niang (11615609),Georges Niang,11615609,PF/F/UTIL,3100,UTA@MEM 11/12/2018 08:00PM ET,UTA,7.27,0.234516129
C,Jahlil Okafor (11615583),Jahlil Okafor,11615583,C/UTIL,3200,NO@TOR 11/12/2018 07:30PM ET,NO,7.29,0.2278125
PF,Ivan Rabb (11615789),Ivan Rabb,11615789,PF/F/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,MEM,6.82,0.227333333
PG,Frank Jackson (11615616),Frank Jackson,11615616,PG/G/UTIL,3100,NO@TOR 11/12/2018 07:30PM ET,NO,6.94,0.223870968
SF,Troy Brown (11615717),Troy Brown,11615717,SF/F/UTIL,3000,ORL@WAS 11/12/2018 07:00PM ET,WAS,6.35,0.211666667
PF/C,Kenneth Faried (11615598),Kenneth Faried,11615598,PF/C/F/UTIL,3100,BKN@MIN 11/12/2018 08:00PM ET,BKN,6.55,0.211290323
SG,Grayson Allen (11615807),Grayson Allen,11615807,SG/G/UTIL,3000,UTA@MEM 11/12/2018 08:00PM ET,UTA,6.12,0.204
SF,Quincy Pondexter (11615634),Quincy Pondexter,11615634,SF/F/UTIL,3100,SA@SAC 11/12/2018 10:00PM ET,SA,6.25,0.201612903
