Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1266987415,DailyWombat,0,319.25,PF Kevin Durant G De'Aaron Fox UTIL Steven Adams C Julius Randle F JJ Redick SG Jordan Clarkson SF T.J. Warren PG Quinn Cook,,Quinn Cook,G,51.28%,41.75
2,1267164153,OnlinewomenRugly,0,309.5,SF Kevin Durant F Paul George SG Klay Thompson PF Julius Randle C Tristan Thompson G J.R. Smith PG Quinn Cook UTIL Ryan Arcidiacono,,Julius Randle,UTIL,46.15%,48.75
3,1266885957,BillyHoffer9,0,308.25,SF Kevin Durant PG James Harden C Clint Capela UTIL Julius Randle F T.J. Warren PF Larry Nance Jr. G Quinn Cook SG Wayne Selden Jr.,,Kevin Durant,SF,35.90%,57.75
4,1267395430,Pauline0207,0,306.75,F Paul George G Zach LaVine PF Julius Randle SF Jabari Parker SG D'Angelo Russell C Tristan Thompson UTIL Rajon Rondo PG Quinn Cook,,D'Angelo Russell,SG,28.21%,27.75
5,1267767456,JoseOJ,0,282.5,SF Kevin Durant SG Buddy Hield UTIL Clint Capela C Steven Adams F Julius Randle PG Brandon Ingram G Quinn Cook PF Jonah Bolden,,Zach LaVine,SG,25.64%,45.5
6,1267664992,KatDaddyKatia,0,280,F LeBron James SF Ben Simmons UTIL De'Aaron Fox PF Julius Randle PG Collin Sexton SG Markelle Fultz G Quinn Cook C Amir Johnson,,Jaren Jackson Jr.,PF,25.64%,11.75
7,1267240203,younghappz,0,275.75,PF LaMarcus Aldridge C Marc Gasol PG Mike Conley SG Klay Thompson UTIL D'Angelo Russell SF Rodney Hood F Trevor Ariza G Justin Holiday,,Klay Thompson,G,23.08%,32.25
8,1266899106,Alin21,0,271.5,SF Kevin Durant C Joel Embiid PF Julius Randle F Jaren Jackson Jr. SG Jordan Clarkson G Collin Sexton PG Quinn Cook UTIL Jonah Bolden,,Wendell Carter Jr.,C,20.51%,27.75
8,1267689826,Luvroonz,0,271.5,SF Kevin Durant C Joel Embiid PF Julius Randle F Jaren Jackson Jr. SG Jordan Clarkson G Collin Sexton PG Quinn Cook UTIL Jonah Bolden,,Rajon Rondo,PG,17.95%,25
10,1267805528,Bhaynes409,0,264.5,C Joel Embiid PG Dennis Schroder SG Klay Thompson F Julius Randle PF Kyle Kuzma G Spencer Dinwiddie SF Marco Belinelli UTIL Quinn Cook,,Kyle Kuzma,SF,15.38%,23.25
11,1267452959,blumie7,0,263.25,SG Devin Booker UTIL Zach LaVine C Deandre Ayton PF Julius Randle SF Jabari Parker F Jaren Jackson Jr. PG Rajon Rondo G Quinn Cook,,Jordan Clarkson,PG,15.38%,27.75
12,1266883894,superbaddd107,0,261.5,F Ben Simmons G De'Aaron Fox C Wendell Carter Jr. UTIL Steven Adams SG D'Angelo Russell PG Jordan Clarkson SF Justin Holiday PF Larry Nance Jr.,,Paul George,PF,15.38%,49.75
13,1267431348,wolfja23,0,260.25,PF Kevin Durant SG Dennis Schroder UTIL Steven Adams C Julius Randle PG D'Angelo Russell SF Wesley Matthews G Rajon Rondo F Kevon Looney,,Dennis Schroder,G,15.38%,33.5
14,1267645493,nwd418,0,259.25,PG Ben Simmons G John Wall SG Jrue Holiday C Deandre Ayton F Julius Randle PF Richaun Holmes SF Mikal Bridges UTIL Amir Johnson,,James Harden,PG,12.82%,44.5
15,1267462870,btgoins,0,258.75,PG Jrue Holiday SG Devin Booker SF Caris LeVert G Klay Thompson F Julius Randle PF T.J. Warren UTIL Quinn Cook C Davis Bertans,,De'Aaron Fox,G,12.82%,38.25
16,1267700068,bignasty69x,0,257.5,SF Kevin Durant G Zach LaVine F Buddy Hield C Willie Cauley-Stein SG Jordan Clarkson UTIL Rajon Rondo PG Quinn Cook PF Jonah Bolden,,Steven Adams,UTIL,12.82%,40.75
17,1267203485,Althaver,0,256.5,G James Harden SF Paul George C Wendell Carter Jr. F Jabari Parker SG D'Angelo Russell UTIL Justin Holiday PG Quinn Cook PF Davis Bertans,,Justin Holiday,SF,12.82%,25.25
