Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,PPD
PF,Jonah Bolden (11606306),Jonah Bolden,11606306,PF/F/UTIL,3000,PHI@MEM 11/10/2018 08:00PM ET,PHI,4.4,0.146666667
SF,Dzanan Musa (11606332),Dzanan Musa,11606332,SF/F/UTIL,3000,BKN@GS 11/10/2018 08:30PM ET,BKN,4.25,0.141666667
SG,Damion Lee (11606338),Damion Lee,11606338,SG/G/UTIL,3000,BKN@GS 11/10/2018 08:30PM ET,GS,4.17,0.139
PG/SG,Yuta Watanabe (11606292),Yuta Watanabe,11606292,PG/SG/G/UTIL,3000,PHI@MEM 11/10/2018 08:00PM ET,MEM,4,0.133333333
PG/SG,Jordan McRae (11606393),Jordan McRae,11606393,PG/SG/G/UTIL,3000,WAS@MIA 11/10/2018 08:00PM ET,WAS,4,0.133333333
SG,Theo Pinson (11606329),Theo Pinson,11606329,SG/G/UTIL,3000,BKN@GS 11/10/2018 08:30PM ET,BKN,3.88,0.129333333
SG/SF,Treveon Graham (11606324),Treveon Graham,11606324,SG/SF/F/G/UTIL,3000,BKN@GS 11/10/2018 08:30PM ET,BKN,3.75,0.125
SG,Jacob Evans III (11606344),Jacob Evans III,11606344,SG/G/UTIL,3000,BKN@GS 11/10/2018 08:30PM ET,GS,3,0.1
SG/SF,Ben McLemore (11606446),Ben McLemore,11606446,SG/SF/F/G/UTIL,3000,LAL@SAC 11/10/2018 10:00PM ET,SAC,3,0.1
SG,Deonte Burton (11606350),Deonte Burton,11606350,SG/G/UTIL,3000,OKC@DAL 11/10/2018 09:00PM ET,OKC,2.92,0.097333333
SG,Furkan Korkmaz (11606312),Furkan Korkmaz,11606312,SG/G/UTIL,3000,PHI@MEM 11/10/2018 08:00PM ET,PHI,2.38,0.079333333
PF,Dragan Bender (11606412),Dragan Bender,11606412,PF/F/UTIL,3000,PHO@NO 11/10/2018 07:00PM ET,PHO,2.31,0.077
SF,Kenrich Williams (11606421),Kenrich Williams,11606421,SF/F/UTIL,3000,PHO@NO 11/10/2018 07:00PM ET,NO,2.31,0.077
C,Drew Eubanks (11606476),Drew Eubanks,11606476,C/UTIL,3000,HOU@SA 11/10/2018 08:30PM ET,SA,2,0.066666667
C,Zhou Qi (11606494),Zhou Qi,11606494,C/UTIL,3000,HOU@SA 11/10/2018 08:30PM ET,HOU,2,0.066666667
SF/PF,Michael Beasley (11606470),Michael Beasley,11606470,SF/PF/F/UTIL,3000,LAL@SAC 11/10/2018 10:00PM ET,LAL,1.92,0.064
SG/SF,Ryan Broekhoff (11606366),Ryan Broekhoff,11606366,SG/SF/F/G/UTIL,3000,OKC@DAL 11/10/2018 09:00PM ET,DAL,1.9,0.063333333
C,Salah Mejri (11606364),Salah Mejri,11606364,C/UTIL,3000,OKC@DAL 11/10/2018 09:00PM ET,DAL,1.62,0.054
PG/SG,Devin Harris (11606189),Devin Harris,11606189,PG/SG/G/UTIL,3200,OKC@DAL 11/10/2018 09:00PM ET,DAL,1.5,0.046875
PF,Abdel Nader (11606353),Abdel Nader,11606353,PF/F/UTIL,3000,OKC@DAL 11/10/2018 09:00PM ET,OKC,0.38,0.012666667
SG,Timothe Luwawu-Cabarrot (11606358),Timothe Luwawu-Cabarrot,11606358,SG/G/UTIL,3000,OKC@DAL 11/10/2018 09:00PM ET,OKC,0.31,0.010333333
PF,Udonis Haslem (11606406),Udonis Haslem,11606406,PF/F/UTIL,3000,WAS@MIA 11/10/2018 08:00PM ET,MIA,0.25,0.008333333
PF/C,DeMarcus Cousins (11605760),DeMarcus Cousins,11605760,PF/C/F/UTIL,5700,BKN@GS 11/10/2018 08:30PM ET,GS,0,0
PF,Lauri Markkanen (11605843),Lauri Markkanen,11605843,PF/F/UTIL,5000,CLE@CHI 11/10/2018 08:00PM ET,CHI,0,0
SF/PF,James Johnson (11605864),James Johnson,11605864,SF/PF/F/UTIL,4800,WAS@MIA 11/10/2018 08:00PM ET,MIA,0,0
SG/SF,Dion Waiters (11605876),Dion Waiters,11605876,SG/SF/F/G/UTIL,4700,WAS@MIA 11/10/2018 08:00PM ET,MIA,0,0
PF/C,Dirk Nowitzki (11605924),Dirk Nowitzki,11605924,PF/C/F/UTIL,4300,OKC@DAL 11/10/2018 09:00PM ET,DAL,0,0
SG/SF,Denzel Valentine (11605984),Denzel Valentine,11605984,SG/SF/F/G/UTIL,4000,CLE@CHI 11/10/2018 08:00PM ET,CHI,0,0
SG/SF,Andre Roberson (11606155),Andre Roberson,11606155,SG/SF/F/G/UTIL,3300,OKC@DAL 11/10/2018 09:00PM ET,OKC,0,0
C,Nene Hilario (11606208),Nene Hilario,11606208,C/UTIL,3200,HOU@SA 11/10/2018 08:30PM ET,HOU,0,0
PF,Billy Preston (11606272),Billy Preston,11606272,PF/F/UTIL,3000,CLE@CHI 11/10/2018 08:00PM ET,CLE,0,0
PG,Tyler Ulis (11606280),Tyler Ulis,11606280,PG/G/UTIL,3000,CLE@CHI 11/10/2018 08:00PM ET,CHI,0,0
PG,Rawle Alkins (11606283),Rawle Alkins,11606283,PG/G/UTIL,3000,CLE@CHI 11/10/2018 08:00PM ET,CHI,0,0
PG,Jevon Carter (11606289),Jevon Carter,11606289,PG/G/UTIL,3000,PHI@MEM 11/10/2018 08:00PM ET,MEM,0,0
