Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,PPD
PF/C,Anthony Davis (11605594),Anthony Davis,11605594,PF/C/F/UTIL,11800,PHO@NO 11/10/2018 07:00PM ET,NO,56.38,0.47779661
PF/C,LaMarcus Aldridge (11605654),LaMarcus Aldridge,11605654,PF/C/F/UTIL,8000,HOU@SA 11/10/2018 08:30PM ET,SA,38.2,0.4775
SF/PF,Dario Saric (11605856),Dario Saric,11605856,SF/PF/F/UTIL,4900,PHI@MEM 11/10/2018 08:00PM ET,PHI,23.38,0.477142857
PF,Maxi Kleber (11606186),Maxi Kleber,11606186,PF/F/UTIL,3200,OKC@DAL 11/10/2018 09:00PM ET,DAL,15.25,0.4765625
PG/SF,Ben Simmons (11605628),Ben Simmons,11605628,PG/SF/F/G/UTIL,9100,PHI@MEM 11/10/2018 08:00PM ET,PHI,43.27,0.475494505
PG,Russell Westbrook (11605602),Russell Westbrook,11605602,PG/G/UTIL,10800,OKC@DAL 11/10/2018 09:00PM ET,OKC,51.29,0.474907407
SG/SF,Josh Richardson (11605675),Josh Richardson,11605675,SG/SF/F/G/UTIL,7400,WAS@MIA 11/10/2018 08:00PM ET,MIA,35.11,0.474459459
PG,Dennis Smith Jr. (11605768),Dennis Smith Jr.,11605768,PG/G/UTIL,5600,OKC@DAL 11/10/2018 09:00PM ET,DAL,26.5,0.473214286
SF/PF,Jerami Grant (11605827),Jerami Grant,11605827,SF/PF/F/UTIL,5100,OKC@DAL 11/10/2018 09:00PM ET,OKC,24,0.470588235
SF/PF,Justise Winslow (11605756),Justise Winslow,11605756,SF/PF/F/UTIL,5800,WAS@MIA 11/10/2018 08:00PM ET,MIA,27.14,0.467931034
SF/PF,Jabari Parker (11605730),Jabari Parker,11605730,SF/PF/F/UTIL,5900,CLE@CHI 11/10/2018 08:00PM ET,CHI,27.54,0.466779661
