Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
28,1265564420,SAVAG31,0,240.5,PG Victor Oladipo C Rudy Gobert SG Donovan Mitchell SF Andrew Wiggins UTIL Jae Crowder PF Otto Porter Jr. F Taj Gibson G Spencer Dinwiddie,,D'Angelo Russell,UTIL,10.26%,40
29,1265689244,DailyWombat,0,238.75,C Andre Drummond PF Aaron Gordon PG De'Aaron Fox G Derrick Rose UTIL Dwight Howard SF Taurean Prince SG Wayne Ellington F Iman Shumpert,,Nemanja Bjelica,F,10.26%,30.5
30,1265520693,Jellydonut17,0,237,PG Kemba Walker SG Victor Oladipo G Bradley Beal SF Buddy Hield F Marcus Morris PF Otto Porter Jr. UTIL Rodions Kurucs C Jason Smith,,JJ Redick,G,10.26%,26
31,1265991345,spike745,0,235.75,F Blake Griffin SF Buddy Hield G Derrick Rose SG Evan Fournier C Dwight Howard UTIL Jae Crowder PF Derrick Favors PG Tony Parker,,Otto Porter Jr.,PF,7.69%,17.75
32,1265572327,BryceMcleod96,0,234,C Joel Embiid PG Donovan Mitchell G De'Aaron Fox SG Derrick Rose SF Andrew Wiggins PF Robert Covington UTIL Troy Williams F Alex Poythress,,John Wall,PG,7.69%,51.75
33,1265975668,JRHmoney,0,226,PG Victor Oladipo C Hassan Whiteside SG Donovan Mitchell UTIL Gary Harris F Kent Bazemore G D'Angelo Russell PF Taj Gibson SF Justin Jackson,,Marcus Smart,G,7.69%,38.75
34,1265802235,GrizzyMcGuire,0,221.75,C Karl-Anthony Towns G Trae Young PG Derrick Rose SG Nicolas Batum SF Andrew Wiggins F JJ Redick UTIL Gordon Hayward PF Dewayne Dedmon,,Jae Crowder,UTIL,7.69%,39
35,1265810135,JSwizzless,0,216,UTIL Rudy Gobert SF Josh Richardson PG Donovan Mitchell G Evan Fournier C Dwight Howard SG Gary Harris PF Taj Gibson F Jaylen Brown,,Spencer Dinwiddie,G,7.69%,31
36,1265689154,chickenattack,0,213.75,UTIL Andre Drummond F Josh Richardson PG Donovan Mitchell C Dwight Howard SF Taurean Prince PF Robert Covington G Terry Rozier SG Wayne Ellington,,Trey Lyles,SF,7.69%,18.75
37,1265744170,Drew78911,0,205.75,UTIL Aaron Gordon C Willie Cauley-Stein PG Derrick Rose SG Andrew Wiggins PF Al Horford SF Kent Bazemore F Nemanja Bjelica G JJ Redick,,Derrick Favors,PF,7.69%,23.5
38,1265859786,iantosca25,0,205.5,C Andre Drummond G Donovan Mitchell PG Derrick Rose PF Domantas Sabonis SG Andrew Wiggins SF Marcus Morris UTIL Jaylen Brown F Justin Jackson,,Myles Turner,C,7.69%,18
39,1265994968,PaulBradbury,0,0,,,Bojan Bogdanovic,F,7.69%,24.5
,,,,,,,Iman Shumpert,F,7.69%,26
,,,,,,,Nikola Jokic,C,7.69%,72.75
,,,,,,,Mason Plumlee,PF,7.69%,10.75
,,,,,,,Dario Saric,SF,7.69%,33.75
,,,,,,,Jaylen Brown,F,7.69%,18
,,,,,,,Jason Smith,C,5.13%,0
,,,,,,,Al Horford,F,5.13%,28
,,,,,,,Ricky Rubio,G,5.13%,33.5
,,,,,,,Trae Young,PG,5.13%,25.5
,,,,,,,Jayson Tatum,SF,5.13%,41.25
,,,,,,,Mohamed Bamba,C,5.13%,26
,,,,,,,Gordon Hayward,F,5.13%,26.75
,,,,,,,Kent Bazemore,SF,5.13%,14.25
,,,,,,,Jamal Murray,PG,5.13%,27
,,,,,,,Tyreke Evans,SG,5.13%,9.5
,,,,,,,Dewayne Dedmon,PF,5.13%,24.25
,,,,,,,D.J. Augustin,G,5.13%,21.5
,,,,,,,Evan Fournier,G,5.13%,35
,,,,,,,Marvin Bagley III,PF,5.13%,12
,,,,,,,Jimmy Butler,UTIL,5.13%,37.5
,,,,,,,Justin Jackson,F,5.13%,4.25
,,,,,,,Jared Dudley,UTIL,2.56%,12
,,,,,,,Torrey Craig,G,2.56%,6.25
,,,,,,,Gorgui Dieng,F,2.56%,5.75
,,,,,,,Kemba Walker,PG,2.56%,55.75
,,,,,,,Bradley Beal,G,2.56%,47.5
,,,,,,,Rodions Kurucs,UTIL,2.56%,0
,,,,,,,Michael Kidd-Gilchrist,PF,2.56%,31.5
,,,,,,,Jeremy Lin,SG,2.56%,35.75
,,,,,,,Joel Embiid,C,2.56%,79
,,,,,,,Troy Williams,UTIL,2.56%,13.25
,,,,,,,Alex Poythress,F,2.56%,6
,,,,,,,Jarrett Allen,C,2.56%,44.25
,,,,,,,Paul Millsap,F,2.56%,26.75
,,,,,,,Tyus Jones,UTIL,2.56%,16.75
,,,,,,,Terrence Ross,G,2.56%,27.75
,,,,,,,Cory Joseph,UTIL,2.56%,23.75
,,,,,,,Nicolas Batum,SG,2.56%,14.5
,,,,,,,Joe Harris,F,2.56%,17.5
,,,,,,,Markieff Morris,PF,2.56%,16.75
,,,,,,,Tony Parker,PG,2.56%,11.5
