Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1263877485,violater40,0,299.5,PF Giannis Antetokounmpo SF Paul George G Kyrie Irving SG Klay Thompson C Steven Adams PG Isaiah Canaan UTIL Tony Snell F Ryan Anderson,,Giannis Antetokounmpo,PF,66.67%,48.25
2,1263971302,smckeown_1,0,237.25,SF Giannis Antetokounmpo PG James Harden G Kyrie Irving UTIL Deandre Ayton F Alfonzo McKinnie C John Henson SG Nik Stauskas PF Ryan Anderson,,Kyrie Irving,G,66.67%,66.25
3,1263998350,petermao,0,219.75,UTIL Stephen Curry SF Tobias Harris PG CJ McCollum PF Al Horford G Klay Thompson C Montrezl Harrell F P.J. Tucker SG ?lex Abrines,,Klay Thompson,SG,66.67%,38.75
,,,,,,,Ryan Anderson,F,66.67%,6
,,,,,,,Paul George,SF,33.33%,56.75
,,,,,,,Steven Adams,C,33.33%,42.5
,,,,,,,Isaiah Canaan,PG,33.33%,26.25
,,,,,,,Tony Snell,UTIL,33.33%,14.75
,,,,,,,James Harden,PG,33.33%,44
,,,,,,,Deandre Ayton,UTIL,33.33%,30.5
,,,,,,,Alfonzo McKinnie,F,33.33%,16.75
,,,,,,,John Henson,C,33.33%,8.75
,,,,,,,Nik Stauskas,SG,33.33%,16.75
,,,,,,,Stephen Curry,UTIL,33.33%,19.25
,,,,,,,Tobias Harris,SF,33.33%,35.75
,,,,,,,CJ McCollum,PG,33.33%,35.75
,,,,,,,Al Horford,PF,33.33%,26.5
,,,,,,,Montrezl Harrell,C,33.33%,37
,,,,,,,P.J. Tucker,F,33.33%,20.25
,,,,,,,?lex Abrines,SG,33.33%,6.5
