Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
,,,,,,,Klay Thompson,G,4.35%,47.75
,,,,,,,Dennis Schroder,PG,4.35%,29.75
,,,,,,,Jonas Valanciunas,C,4.35%,36
,,,,,,,Nikola Vucevic,C,4.35%,38.5
,,,,,,,Jordan Clarkson,G,4.35%,35.5
,,,,,,,Joe Harris,F,4.35%,19.25
,,,,,,,Kawhi Leonard,UTIL,4.35%,52.75
,,,,,,,Iman Shumpert,G,4.35%,14
,,,,,,,Tyson Chandler,C,4.35%,10.5
,,,,,,,Jaren Jackson Jr.,PF,4.35%,4
,,,,,,,Doug McDermott,SF,4.35%,12.25
,,,,,,,Andre Drummond,UTIL,4.35%,42.5
,,,,,,,Langston Galloway,SG,4.35%,22.25
,,,,,,,Paul George,F,4.35%,43.25
,,,,,,,Jrue Holiday,SG,4.35%,44.75
,,,,,,,Fred VanVleet,G,4.35%,16.75
,,,,,,,E'Twaun Moore,UTIL,4.35%,7.5
,,,,,,,Bryn Forbes,PG,4.35%,18.5
,,,,,,,Kyle Lowry,G,4.35%,25.25
,,,,,,,Richaun Holmes,PF,4.35%,19
,,,,,,,Marc Gasol,C,4.35%,33
,,,,,,,Danny Green,SG,4.35%,10
,,,,,,,DeMar DeRozan,G,4.35%,63
,,,,,,,Monte Morris,UTIL,4.35%,21.75
,,,,,,,James Johnson,F,4.35%,18.75
,,,,,,,Kevin Durant,UTIL,4.35%,29
,,,,,,,Cedi Osman,F,4.35%,25.5
,,,,,,,Juancho Hernang?mez,UTIL,4.35%,38.5
,,,,,,,Serge Ibaka,PF,4.35%,20
,,,,,,,JaVale McGee,C,4.35%,29.5
,,,,,,,Jerami Grant,UTIL,4.35%,21.75
,,,,,,,Rudy Gay,F,4.35%,26
,,,,,,,Bojan Bogdanovic,SF,4.35%,35.75
,,,,,,,Brook Lopez,C,4.35%,23.5
,,,,,,,Josh Jackson,SF,4.35%,24.25
