Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1310880911,philipoh,0,271.5,PG Damian Lillard UTIL Nikola Vucevic C Deandre Ayton PF Lauri Markkanen SF Josh Jackson SG Terrence Ross F Al-Farouq Aminu G Derrick White,,Deandre Ayton,C,53.85%,26.25
2,1311150325,bovinefeces,0,264.75,PG Damian Lillard PF LaMarcus Aldridge SF Aaron Gordon C Deandre Ayton SG Justin Holiday F Josh Jackson UTIL Derrick Favors G Justise Winslow,,Josh Jackson,F,48.72%,22.5
3,1311043275,petermao,0,258.75,C Nikola Vucevic G Luka Doncic UTIL Deandre Ayton PG Darren Collison SF Bogdan Bogdanovic SG Dwyane Wade PF Lauri Markkanen F Derrick Favors,,Damian Lillard,PG,46.15%,57
4,1311274141,aaronvan,0,257,PG Damian Lillard PF Domantas Sabonis C Deandre Ayton UTIL Dwyane Wade SG Justin Holiday F Lauri Markkanen SF Josh Jackson G Wesley Matthews,,Domantas Sabonis,PF,41.03%,31.75
5,1311109274,Acuvigor,0,252.75,G Damian Lillard PG De'Aaron Fox UTIL Deandre Ayton C Myles Turner PF Trevor Ariza F Josh Jackson SG Tyreke Evans SF Mikal Bridges,,Bogdan Bogdanovic,G,38.46%,27.75
6,1311090969,prodbyivan,0,252.25,SG Donovan Mitchell PF Aaron Gordon SF Harrison Barnes UTIL Deandre Ayton G Ricky Rubio C Myles Turner F Josh Jackson PG D.J. Augustin,,Donovan Mitchell,SG,25.64%,29.75
7,1310932493,KurtNeverDied,0,250,G De'Aaron Fox UTIL Domantas Sabonis PF Harrison Barnes PG Darren Collison C Myles Turner F Trevor Ariza SF Justin Holiday SG Wesley Matthews,,De'Aaron Fox,G,25.64%,28.5
8,1310912184,asianguys,0,245.5,PG Damian Lillard SG DeMar DeRozan C Deandre Ayton G Darren Collison UTIL Buddy Hield SF Evan Fournier F Nemanja Bjelica PF Kelly Olynyk,,Harrison Barnes,PF,23.08%,20
9,1310926034,luismarroking88,0,245.25,UTIL Damian Lillard F Domantas Sabonis G Luka Doncic SG Bogdan Bogdanovic SF Trevor Ariza PF Jae Crowder C Wendell Carter Jr. PG Wayne Ellington,,DeMar DeRozan,SF,17.95%,30
10,1310909565,johnstamos710,0,241,PG Damian Lillard SG DeMar DeRozan PF Domantas Sabonis C Deandre Ayton G Ricky Rubio UTIL Wesley Matthews SF Nemanja Bjelica F Kyle Korver,,Willie Cauley-Stein,UTIL,17.95%,25.5
11,1311335598,kkizar,0,237.75,G Damian Lillard UTIL Nikola Vucevic C Deandre Ayton SG Bogdan Bogdanovic SF Josh Jackson F Joe Ingles PG Elie Okobo PF Nemanja Bjelica,,Trevor Ariza,F,17.95%,27.75
12,1310829222,crams,0,236.5,PG Damian Lillard PF Domantas Sabonis C Deandre Ayton UTIL Willie Cauley-Stein SG Bogdan Bogdanovic F Trevor Ariza G Elie Okobo SF Justise Winslow,,Dwyane Wade,PG,17.95%,21.25
13,1310878259,Gol.D_W0lf,0,236,G Damian Lillard PG Luka Doncic C Willie Cauley-Stein F Bogdan Bogdanovic SF Trevor Ariza SG Dwyane Wade PF Jae Crowder UTIL Wesley Matthews,,Aaron Gordon,SF,17.95%,50.25
14,1311339902,Spxrk,0,232,SG Donovan Mitchell PG De'Aaron Fox UTIL Domantas Sabonis PF Aaron Gordon C Deandre Ayton SF Josh Jackson G Wesley Matthews F Nemanja Bjelica,,Nikola Vucevic,C,15.38%,40
15,1311037827,JbrewVols916,0,228.5,PG Zach LaVine SG Josh Richardson C Deandre Ayton F Buddy Hield SF Bogdan Bogdanovic G Dwyane Wade UTIL Justin Holiday PF Lauri Markkanen,,Hassan Whiteside,UTIL,15.38%,32.25
16,1311164203,TuneSquad25,0,225.75,UTIL Nikola Vucevic C Hassan Whiteside PG De'Aaron Fox PF Trevor Ariza F Lauri Markkanen SF Josh Jackson SG Wayne Ellington G D.J. Augustin,,Justin Holiday,SG,15.38%,30
17,1310860213,explicittm,0,224.75,UTIL Damian Lillard SG DeMar DeRozan PF LaMarcus Aldridge PG CJ McCollum F Evan Fournier C Wendell Carter Jr. G Patty Mills SF Jonathon Simmons,,Buddy Hield,SF,15.38%,30.75
17,1311462813,peising,0,224.75,PG De'Aaron Fox PF Domantas Sabonis SF Aaron Gordon UTIL Deandre Ayton C Willie Cauley-Stein SG Bogdan Bogdanovic F Josh Jackson G Elie Okobo,,Wesley Matthews,UTIL,15.38%,24.75
19,1311073624,raymond567,0,223,UTIL Nikola Vucevic C Rudy Gobert SF Harrison Barnes PG Ricky Rubio PF Trevor Ariza SG Justin Holiday G Wayne Ellington F Nemanja Bjelica,,Nemanja Bjelica,SF,15.38%,18.25
20,1311443176,zacharyjudd,0,222.75,PG Zach LaVine G DeMar DeRozan SG Donovan Mitchell UTIL Josh Richardson F Aaron Gordon SF Justise Winslow PF Kelly Olynyk C Mohamed Bamba,,Zach LaVine,PG,12.82%,30
21,1311149202,dvnmrt,0,220.5,PG De'Aaron Fox PF Domantas Sabonis UTIL Harrison Barnes C Willie Cauley-Stein SG Buddy Hield G Bogdan Bogdanovic F Josh Jackson SF Joe Ingles,,Josh Richardson,G,12.82%,19
22,1311211104,alenachapman,0,219,UTIL Damian Lillard G De'Aaron Fox SF Josh Richardson C Willie Cauley-Stein SG Bogdan Bogdanovic F Josh Jackson PG Elie Okobo PF Richaun Holmes,,Elie Okobo,G,12.82%,12.25
22,1311304500,crisjimenez120,0,219,PG Damian Lillard SG Donovan Mitchell PF Aaron Gordon SF Harrison Barnes C Deandre Ayton G Tyreke Evans UTIL Mohamed Bamba F Jonathon Simmons,,LaMarcus Aldridge,PF,12.82%,25.25
24,1311320164,NeFF1705,0,217,UTIL Damian Lillard PG Donovan Mitchell C Jusuf Nurkic F Bogdan Bogdanovic SG Dwyane Wade SF Josh Jackson G Wesley Matthews PF Doug McDermott,,Evan Fournier,F,12.82%,16.75
25,1310861529,manster829,0,216.75,C Hassan Whiteside F LaMarcus Aldridge PF Harrison Barnes G Ricky Rubio SF Buddy Hield SG Bogdan Bogdanovic UTIL Bojan Bogdanovic PG D.J. Augustin,,Ricky Rubio,G,12.82%,33.25
26,1310872104,bootyflix,0,215.5,C Hassan Whiteside G De'Aaron Fox PF Domantas Sabonis UTIL Deandre Ayton SF Buddy Hield SG Bogdan Bogdanovic F Josh Jackson PG Jamal Crawford,,Lauri Markkanen,PF,12.82%,43.5
27,1310876809,andrew2231,0,215,G Damian Lillard UTIL LaMarcus Aldridge PF Domantas Sabonis C Deandre Ayton F Evan Fournier SF Josh Jackson PG Derrick White SG Jamal Crawford,,Tyreke Evans,SG,12.82%,16.25
28,1310861458,nathanb95,0,214.5,C Nikola Vucevic UTIL Hassan Whiteside PF Domantas Sabonis SF Jabari Parker PG Dwyane Wade SG Justin Holiday G Terrence Ross F Marco Belinelli,,Myles Turner,C,10.26%,49.25
28,1311279465,memo_bruh,0,214.5,SG Zach LaVine C Domantas Sabonis F Harrison Barnes UTIL Deandre Ayton PG Darren Collison G Bogdan Bogdanovic SF Josh Jackson PF Nemanja Bjelica,,Terrence Ross,G,10.26%,27.75
30,1311274524,OBxOBrien8,0,209.5,PG Damian Lillard UTIL LaMarcus Aldridge C Deandre Ayton G Ricky Rubio PF Rudy Gay F Josh Jackson SG Tyreke Evans SF Mikal Bridges,,Jae Crowder,PF,10.26%,15.25
31,1310801721,kvng_brightskinn,0,209,PG Damian Lillard SG Donovan Mitchell G Josh Richardson PF Harrison Barnes C Myles Turner SF Bojan Bogdanovic F Doug McDermott UTIL Meyers Leonard,,Rudy Gobert,C,10.26%,43.5
31,1311121062,tpuck811,0,209,C Rudy Gobert SG Donovan Mitchell PF Harrison Barnes UTIL Willie Cauley-Stein G Bogdan Bogdanovic F Josh Jackson SF Terrence Ross PG Elie Okobo,,Darren Collison,G,10.26%,38
33,1311143251,Hadi777,0,208,C Rudy Gobert UTIL Hassan Whiteside PG De'Aaron Fox F Domantas Sabonis PF Jabari Parker G Joe Ingles SG Bryn Forbes SF Doug McDermott,,Wayne Ellington,PG,10.26%,10.25
34,1311193180,Kinsley2018,0,206,UTIL Damian Lillard PG Donovan Mitchell G Josh Richardson C Deandre Ayton SG Evan Fournier SF Tyreke Evans PF Jonathan Isaac F Dorian Finney-Smith,,Joe Ingles,UTIL,10.26%,33.75
35,1310999950,titanium998,0,199.25,C Hassan Whiteside PG De'Aaron Fox PF Domantas Sabonis UTIL Deandre Ayton G Bojan Bogdanovic SF Josh Jackson SG Tyreke Evans F Jae Crowder,,CJ McCollum,SG,7.69%,31.75
36,1310784425,thisdarrellguy92,0,193,PG Zach LaVine SF DeMar DeRozan PF Domantas Sabonis SG CJ McCollum C Deandre Ayton G Bogdan Bogdanovic F Iman Shumpert UTIL Antonio Blakeney,,Bojan Bogdanovic,SF,7.69%,26.5
37,1310885636,cpoin_8,0,191,C Rudy Gobert PG Zach LaVine UTIL Willie Cauley-Stein SG Dwyane Wade PF Rudy Gay SF Evan Fournier F Josh Jackson G Terrence Ross,,Doug McDermott,F,7.69%,5.75
38,1311367164,24forpresident,0,188.75,SF DeMar DeRozan PG Donovan Mitchell C Jusuf Nurkic F Domantas Sabonis SG Buddy Hield PF Jae Crowder G Wayne Ellington UTIL Patty Mills,,Justise Winslow,SF,7.69%,28.25
39,1311006111,uclil64,0,186.25,SG DeMar DeRozan PG Donovan Mitchell G CJ McCollum SF Aaron Gordon PF Marvin Bagley III F Rudy Gay UTIL Joe Ingles C Mohamed Bamba,,D.J. Augustin,PG,7.69%,21
,,,,,,,Luka Doncic,PG,7.69%,36.75
,,,,,,,Rudy Gay,PF,7.69%,3.75
,,,,,,,Mohamed Bamba,C,7.69%,7
,,,,,,,Wendell Carter Jr.,C,5.13%,38.75
,,,,,,,Patty Mills,G,5.13%,12.75
,,,,,,,Jonathon Simmons,SF,5.13%,12.5
,,,,,,,Jabari Parker,SF,5.13%,21.5
,,,,,,,Jamal Crawford,PG,5.13%,15.75
,,,,,,,Derrick White,PG,5.13%,19.75
,,,,,,,Kelly Olynyk,PF,5.13%,28.5
,,,,,,,Derrick Favors,F,5.13%,25.25
,,,,,,,Mikal Bridges,SF,5.13%,25.25
,,,,,,,Jusuf Nurkic,C,5.13%,28.25
,,,,,,,Iman Shumpert,F,2.56%,15.5
,,,,,,,Antonio Blakeney,UTIL,2.56%,0
,,,,,,,Meyers Leonard,UTIL,2.56%,1.75
,,,,,,,Marco Belinelli,F,2.56%,10
,,,,,,,Al-Farouq Aminu,F,2.56%,34.75
,,,,,,,Kyle Korver,F,2.56%,19.75
,,,,,,,Marvin Bagley III,PF,2.56%,0
,,,,,,,Bryn Forbes,SG,2.56%,11
,,,,,,,Jonathan Isaac,PF,2.56%,28.5
,,,,,,,Dorian Finney-Smith,F,2.56%,12.5
,,,,,,,Richaun Holmes,PF,2.56%,26.5
