Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1272672121,beamet,0,329.75,UTIL Karl-Anthony Towns C Nikola Vucevic SG Jrue Holiday PF Julius Randle SF Harrison Barnes G Jeff Teague PG Derrick White F Ed Davis,,Karl-Anthony Towns,C,25.50%,59.25
2,1272618693,dublinking,0,326.25,UTIL Karl-Anthony Towns C Hassan Whiteside SG Bradley Beal PF Julius Randle F Montrezl Harrell SF Harrison Barnes PG Jeff Teague G J.J. Barea,,Quinn Cook,PG,24.50%,12.75
3,1272138824,jmegill,0,318,UTIL Karl-Anthony Towns PG John Wall SF Luka Doncic C Steven Adams PF T.J. Warren G Jeff Teague F Rondae Hollis-Jefferson SG J.J. Barea,,Zach LaVine,SG,21.50%,44.25
4,1272543715,Southpaw2004,0,317.75,UTIL Karl-Anthony Towns PG John Wall C DeAndre Jordan SG Bradley Beal F Jaren Jackson Jr. PF Harrison Barnes G J.J. Barea SF Kyle Anderson,,Ben Simmons,SF,19.00%,32.25
5,1272203868,jabraun42,0,317,SF Kevin Durant UTIL Karl-Anthony Towns C Steven Adams F Montrezl Harrell PG Dennis Smith Jr. G Derrick White PF Rondae Hollis-Jefferson SG Furkan Korkmaz,,Serge Ibaka,F,17.50%,42
6,1272079568,Qan5dovc,0,311.75,PF Anthony Davis C Karl-Anthony Towns UTIL Marc Gasol SF Harrison Barnes F E'Twaun Moore PG Derrick White G Shai Gilgeous-Alexander SG J.J. Barea,,Anthony Davis,F,16.50%,63
7,1272409183,deadbabyshooting,0,311.25,PG Zach LaVine G Derrick Rose SG Klay Thompson C Serge Ibaka SF Joe Ingles F Montrezl Harrell PF Taj Gibson UTIL Markieff Morris,,JJ Redick,SF,16.50%,31.75
8,1272852431,IMABEAST123456,0,308.25,G DeMar DeRozan SG Jrue Holiday C DeAndre Jordan PG Goran Dragic PF Jaren Jackson Jr. SF Harrison Barnes UTIL Shai Gilgeous-Alexander F Rondae Hollis-Jefferson,,Montrezl Harrell,PF,16.00%,43.5
9,1272111436,packerbackerdale,0,306,PF Paul George C Karl-Anthony Towns PG Derrick Rose SG Klay Thompson SF JJ Redick UTIL Derrick Favors G J.J. Barea F Maxi Kleber,,Kawhi Leonard,SG,15.50%,34.5
10,1272142903,lildoc3709,0,304.25,UTIL Karl-Anthony Towns SG Zach LaVine C Marc Gasol PG Mike Conley PF T.J. Warren SF Harrison Barnes G Shai Gilgeous-Alexander F Ed Davis,,Shai Gilgeous-Alexander,G,15.00%,32.75
11,1272100501,dmorgan85,0,304,C Karl-Anthony Towns PG John Wall SG Bradley Beal G Mike Conley PF Danilo Gallinari SF Terrence Ross F Kyle Anderson UTIL Ed Davis,,Steven Adams,C,15.00%,38.75
12,1272572595,RaymondAnthonyPablo,0,303.5,SF Kevin Durant C Joel Embiid SG Klay Thompson PG Quinn Cook PF Markieff Morris F Derrick Favors UTIL Shai Gilgeous-Alexander G Patrick Beverley,,Klay Thompson,G,15.00%,44.75
13,1272023960,bigballerb0y,0,303.25,UTIL Kevin Durant C Karl-Anthony Towns F Serge Ibaka PF Montrezl Harrell SF T.J. Warren PG Quinn Cook G Shai Gilgeous-Alexander SG T.J. McConnell,,Harrison Barnes,PF,14.50%,38.25
14,1272859768,trepmp,0,297.75,PF Kevin Durant G Klay Thompson SF Evan Fournier SG D'Angelo Russell F Serge Ibaka C Jarrett Allen PG Shai Gilgeous-Alexander UTIL Furkan Korkmaz,,Kevin Durant,UTIL,14.50%,71.25
15,1272377012,melmarco,0,297.25,PF Anthony Davis PG Jrue Holiday UTIL Klay Thompson SF Harrison Barnes G Quinn Cook SG E'Twaun Moore F Kelly Oubre Jr. C Derrick Favors,,T.J. Warren,SF,14.00%,34.5
15,1272394422,UDDave,0,297.25,C Karl-Anthony Towns G Devin Booker SF Luka Doncic SG Dennis Schroder PF Montrezl Harrell PG Derrick White UTIL Shai Gilgeous-Alexander F Rondae Hollis-Jefferson,,Julius Randle,UTIL,14.00%,38.5
17,1272130314,aronowm2,0,296.5,SF Kevin Durant C Karl-Anthony Towns F Tobias Harris SG Lou Williams UTIL Terrence Ross PG Shai Gilgeous-Alexander G Patrick Beverley PF Wesley Johnson,,Justin Holiday,SF,13.00%,22.75
17,1272296909,nicko467,0,296.5,F Kevin Durant UTIL Rudy Gobert C Steven Adams PF Serge Ibaka SF T.J. Warren SG Justin Holiday PG Patrick Beverley G Ryan Arcidiacono,,Derrick Rose,SG,12.50%,38.5
