Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1284311376,knockout9z,0,323,SG Eric Bledsoe F Montrezl Harrell UTIL Deandre Ayton SF T.J. Warren PF Domantas Sabonis G Trae Young PG De'Aaron Fox C Myles Turner,,De'Aaron Fox,PG,38.50%,27.25
2,1284328848,wdice62,0,317.5,UTIL Marc Gasol G Luka Doncic PF Montrezl Harrell C DeAndre Jordan F Paul Millsap SF Jayson Tatum SG Buddy Hield PG Dennis Smith Jr.,,Tyreke Evans,SG,29.50%,24.25
3,1284226728,kkiidd,0,312.5,PG Kyrie Irving SG Devin Booker C Marc Gasol UTIL Trae Young G Ricky Rubio PF Harrison Barnes SF Rudy Gay F Vince Carter,,Rudy Gay,SF,17.50%,24.5
4,1284117064,GeneFunk,0,309.25,PG Mike Conley F Nikola Mirotic C Domantas Sabonis UTIL Trae Young SG Lou Williams PF Jaren Jackson Jr. SF Buddy Hield G Reggie Jackson,,T.J. Warren,PF,17.00%,34
5,1284226320,arshsidhu,0,307.5,PG Devin Booker SG Khris Middleton C Rudy Gobert PF Montrezl Harrell G Trae Young SF Jayson Tatum UTIL Malcolm Brogdon F Garrett Temple,,Anthony Davis,PF,17.00%,53.25
6,1284149106,jjm22,0,303.5,UTIL Giannis Antetokounmpo C Domantas Sabonis G Trae Young PG Lou Williams SF Jayson Tatum SG Gordon Hayward PF Derrick Favors F Dante Cunningham,,Ben Simmons,PG,16.50%,47.75
7,1284192442,torkelson,0,302.25,F Montrezl Harrell UTIL T.J. Warren PF Domantas Sabonis C DeAndre Jordan G Trae Young PG Lou Williams SF Danilo Gallinari SG Reggie Jackson,,Buddy Hield,SG,15.50%,35.5
8,1284141447,ezwin914,0,300.75,SF Ben Simmons PG Jrue Holiday C Marc Gasol PF T.J. Warren UTIL DeAndre Jordan SG E'Twaun Moore F Omari Spellman G Aaron Holiday,,Giannis Antetokounmpo,SF,15.50%,56.5
9,1284116123,ghost057,0,297,F Blake Griffin PG Kemba Walker G Kyrie Irving SG Malcolm Brogdon C John Collins SF Garrett Temple PF Marvin Bagley III UTIL Langston Galloway,,Nikola Mirotic,F,15.00%,24.75
10,1284210964,jcassius76,0,296,SF Paul George SG Devin Booker UTIL Luka Doncic PF T.J. Warren PG De'Aaron Fox C John Collins G Bogdan Bogdanovic F Marvin Bagley III,,Jayson Tatum,SF,14.50%,33
11,1284201254,LarryWaters30,0,294.75,PF Anthony Davis G Luka Doncic UTIL Trae Young PG Lou Williams SG Joe Ingles C Myles Turner F Kyle Anderson SF Trevor Ariza,,Kyrie Irving,G,14.50%,54.75
11,1284205818,Rdemars18,0,294.75,PG Kyrie Irving C DeAndre Jordan UTIL Trae Young G De'Aaron Fox F Jayson Tatum PF Jaren Jackson Jr. SF Buddy Hield SG Joe Ingles,,Lou Williams,PG,14.00%,41.25
13,1284304608,nhulse19,0,293.75,F Julius Randle PG Luka Doncic C Deandre Ayton PF Domantas Sabonis G De'Aaron Fox UTIL Gary Harris SF Jayson Tatum SG Buddy Hield,,Marc Gasol,C,14.00%,52.75
14,1284312336,booouaaaaaaass,0,293.25,PG Kemba Walker G Kyrie Irving F Nikola Mirotic C Al Horford UTIL Brook Lopez SG E'Twaun Moore SF Nemanja Bjelica PF Marvin Bagley III,,Luka Doncic,G,13.00%,35.5
15,1284131197,cgibby02,0,291.25,SF Ben Simmons PF LaMarcus Aldridge G Eric Bledsoe C Montrezl Harrell F Domantas Sabonis PG De'Aaron Fox UTIL Dorian Finney-Smith SG Hamidou Diallo,,Juancho Hernangómez,SF,13.00%,16.75
16,1284299660,CWhitehead,0,289.75,SF Giannis Antetokounmpo G Kyrie Irving SG Jamal Murray F Jayson Tatum PG Reggie Jackson PF JaMychal Green C Dewayne Dedmon UTIL Marvin Williams,,Deandre Ayton,C,12.50%,30.75
17,1284216801,Nycsourdiesel,0,289.5,PF Anthony Davis SF Tobias Harris C Marc Gasol PG De'Aaron Fox G Jeremy Lamb SG Tyreke Evans UTIL Marvin Bagley III F Dorian Finney-Smith,,Montrezl Harrell,PF,12.50%,55.25
18,1284354189,34jeezy,0,286.5,G Jrue Holiday F Nikola Mirotic UTIL Deandre Ayton C DeAndre Jordan PG Trae Young SG Buddy Hield PF Rudy Gay SF JaMychal Green,,Donovan Mitchell,UTIL,12.50%,10.25
19,1284153591,CCSC_20,0,286,SF Ben Simmons PG Jrue Holiday C Rudy Gobert UTIL Montrezl Harrell SG Lou Williams F Cedi Osman G Jeremy Lin PF Marvin Bagley III,,Harrison Barnes,F,12.50%,12.75
20,1284151461,neonbadeoux,0,285.75,UTIL Ben Simmons C Steven Adams PF Montrezl Harrell SF T.J. Warren G De'Aaron Fox PG Collin Sexton SG Malcolm Brogdon F Bojan Bogdanovic,,Jimmy Butler,G,11.00%,24.25
21,1284317920,cabcrusher,0,285.5,UTIL Joel Embiid PF Montrezl Harrell PG De'Aaron Fox G Lou Williams F Taurean Prince C Brook Lopez SF Juancho Hernangómez SG Tyreke Evans,,LaMarcus Aldridge,F,11.00%,22
22,1284114568,chuckitup95,0,285.25,PF Anthony Davis UTIL Andre Drummond F T.J. Warren SF Rudy Gay G Bojan Bogdanovic C Myles Turner SG Tyreke Evans PG Aaron Holiday,,Jeremy Lamb,SF,11.00%,25
22,1284188938,magic_johnson_sick,0,285.25,PF Blake Griffin SF Tobias Harris C Marc Gasol PG De'Aaron Fox SG Buddy Hield UTIL E'Twaun Moore F Reggie Bullock G Langston Galloway,,Trae Young,PG,10.50%,53.25
22,1284292771,zmwinkler,0,285.25,PG Ben Simmons C Marc Gasol PF Jayson Tatum SG Buddy Hield UTIL Ricky Rubio F JJ Redick G Joe Ingles SF Rudy Gay,,Steven Adams,UTIL,10.00%,36.25
25,1284141387,thammer57,0,283,SG DeMar DeRozan PG Kyrie Irving PF Domantas Sabonis SF Gordon Hayward G Buddy Hield F Rudy Gay UTIL Bojan Bogdanovic C Myles Turner,,Malcolm Brogdon,SG,10.00%,26.5
26,1284135769,thomasthekitty,0,282.5,UTIL Russell Westbrook C Marc Gasol PF Montrezl Harrell SF T.J. Warren G De'Aaron Fox F Juancho Hernangómez PG Jeremy Lin SG Tyreke Evans,,JJ Redick,UTIL,9.50%,26.5
27,1284132569,Robster01,0,282,SF Giannis Antetokounmpo PF Tobias Harris C Deandre Ayton G De'Aaron Fox PG Lou Williams UTIL Monte Morris SG Tyreke Evans F Marvin Bagley III,,Kent Bazemore,SG,9.50%,19
28,1284143275,bsterling00,0,281.5,PG Kemba Walker SG Devin Booker UTIL Luka Doncic C Willie Cauley-Stein SF JJ Redick PF Rudy Gay G Collin Sexton F Jaylen Brown,,Dorian Finney-Smith,F,9.50%,24.25
29,1284190844,GorillaStrong83,0,281.25,PF Giannis Antetokounmpo PG Luka Doncic C DeAndre Jordan G De'Aaron Fox SF Buddy Hield UTIL Dennis Smith Jr. F Nicolas Batum SG Tyreke Evans,,Joe Ingles,SG,9.00%,14.75
30,1284232853,SadatGnosis,0,281,PF Anthony Davis SF Giannis Antetokounmpo C Larry Nance Jr. PG Collin Sexton F Nemanja Bjelica SG Bogdan Bogdanovic UTIL Marvin Bagley III G Iman Shumpert,,Larry Nance Jr.,F,8.50%,13.25
31,1284133303,jrbruce84,0,280.25,C Joel Embiid PF LaMarcus Aldridge UTIL Montrezl Harrell PG De'Aaron Fox SG Buddy Hield G Darren Collison SF Tyreke Evans F Dorian Finney-Smith,,Devin Booker,PG,8.50%,54.75
32,1284171135,LMA33,0,278,C Joel Embiid UTIL Devin Booker PF Nikola Mirotic PG De'Aaron Fox SG Lou Williams G Monte Morris SF Tyreke Evans F Dorian Finney-Smith,,Kemba Walker,PG,8.50%,59
32,1284203185,Jamie2156,0,278,UTIL Andre Drummond PG Jrue Holiday C Steven Adams PF Montrezl Harrell G Patrick Beverley F Garrett Temple SF Tyreke Evans SG Bryn Forbes,,Jeremy Lin,UTIL,8.00%,9
34,1284147086,yenpai,0,277.75,PG Kemba Walker SG Devin Booker UTIL Marc Gasol C Steven Adams G De'Aaron Fox PF Trey Lyles F Dorian Finney-Smith SF David Nwaba,,Paul George,SF,8.00%,45.25
34,1284176559,khalil41,0,277.75,C Anthony Davis PF Paul George PG Eric Bledsoe F Montrezl Harrell UTIL Marvin Bagley III SG Malik Monk SF Glenn Robinson III G Hamidou Diallo,,Dennis Schroder,SG,8.00%,19.75
