Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1301641818,petermao,0,303,SF Kevin Durant C Montrezl Harrell PF Domantas Sabonis F Marvin Bagley III SG Bogdan Bogdanovic G Shai Gilgeous-Alexander PG Darren Collison UTIL Boban Marjanovic,,Buddy Hield,SG,48.72%,19.5
2,1301444980,divine10,0,289.5,SF Kevin Durant PF Montrezl Harrell PG De'Aaron Fox C Myles Turner SG Bogdan Bogdanovic UTIL JaVale McGee F Danny Green G Josh Hart,,Klay Thompson,G,41.03%,32.75
3,1301908185,sabataman,0,289.25,PF Kevin Durant SG Klay Thompson C Myles Turner F Marvin Bagley III SF Bojan Bogdanovic UTIL Bogdan Bogdanovic PG Shai Gilgeous-Alexander G Darren Collison,,Serge Ibaka,C,38.46%,27.5
4,1301991641,raymond567,0,287.75,SF Kevin Durant C Domantas Sabonis SG Klay Thompson PF Serge Ibaka UTIL Marvin Bagley III PG Shai Gilgeous-Alexander G Fred VanVleet F Andre Iguodala,,Kevin Durant,SF,38.46%,76.75
5,1301620524,Gstacksisback,0,276.75,UTIL Kevin Durant G De'Aaron Fox SF Danilo Gallinari F Brandon Ingram SG Buddy Hield PF Marvin Bagley III PG Darren Collison C Marcin Gortat,,Montrezl Harrell,PF,35.90%,35
6,1301400381,Jet-International,0,266.5,SF Kawhi Leonard G Kyle Lowry F Pascal Siakam PG Lou Williams C Serge Ibaka PF Kyle Kuzma SG Tyreke Evans UTIL Shai Gilgeous-Alexander,,LeBron James,SF,33.33%,62.75
7,1302204133,manster829,0,266,F Tobias Harris PG Kyle Lowry UTIL De'Aaron Fox SF Danilo Gallinari SG Buddy Hield PF Marvin Bagley III C Jonas Valanciunas G Danny Green,,Lou Williams,PG,33.33%,15
7,1302375697,Itsdavid35,0,266,SF Kevin Durant PG Kyle Lowry SG Klay Thompson PF Pascal Siakam UTIL Tyreke Evans G Danny Green C Tyson Chandler F Skal Labissiere,,Marvin Bagley III,PF,33.33%,37
9,1301844832,corkyzach,0,265.25,SF Kawhi Leonard PG Kyle Lowry SG Klay Thompson F Kyle Kuzma G Bojan Bogdanovic C Jonas Valanciunas UTIL Shai Gilgeous-Alexander PF Thaddeus Young,,De'Aaron Fox,PG,30.77%,39.75
10,1302076659,TeamFrank1,0,259,SF Kevin Durant PF LeBron James UTIL Klay Thompson C JaVale McGee PG Fred VanVleet SG Danny Green G Kentavious Caldwell-Pope F OG Anunoby,,Darren Collison,UTIL,28.21%,27.25
