Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1312251804,buskirkisbetter,0,358.5,PG Mike Conley SF Paul George PF Julius Randle C John Collins F Jeremy Lamb G Kelly Oubre Jr. UTIL Juancho Hernang?mez SG Kent Bazemore,,Julius Randle,PF,30.77%,53
2,1311998846,nkycoach,0,342.5,PF Anthony Davis SG Bradley Beal C Julius Randle SF Otto Porter Jr. F Cedi Osman G Kent Bazemore UTIL Jonathan Isaac PG Tomas Satoransky,,Kent Bazemore,G,30.77%,43.5
3,1311927755,soonsushi,0,339.25,UTIL Anthony Davis C Nikola Jokic F Julius Randle PF Otto Porter Jr. SF Kelly Oubre Jr. G Kent Bazemore PG Tomas Satoransky SG Austin Rivers,,Austin Rivers,G,28.21%,27.75
4,1311870086,kkizar,0,337,F LeBron James SG Bradley Beal PF Julius Randle C Steven Adams UTIL John Collins G Kent Bazemore PG Austin Rivers SF Torrey Craig,,Bradley Beal,SG,25.64%,58.5
5,1312526641,brandonk0501,0,328.5,PG Stephen Curry PF Kawhi Leonard SF Paul George SG Klay Thompson C Taj Gibson G Nicolas Batum F OG Anunoby UTIL Lance Stephenson,,Anthony Davis,C,23.08%,59.5
6,1312171384,rbrown91,0,312,UTIL Russell Westbrook C Marc Gasol F Jimmy Butler G Lonzo Ball PG J.J. Barea SF Wesley Matthews PF JaMychal Green SG E'Twaun Moore,,Otto Porter Jr.,PF,23.08%,42.75
7,1311894313,crams,0,304.5,PF Giannis Antetokounmpo G Bradley Beal C Julius Randle PG Jamal Murray UTIL JJ Redick SG Tomas Satoransky SF DeAndre' Bembry F Pat Connaughton,,Kelly Oubre Jr.,G,20.51%,31.25
8,1312370892,Stuart2424,0,302.25,UTIL LeBron James PF Julius Randle G Luka Doncic C John Collins SF Otto Porter Jr. PG Trae Young F Dewayne Dedmon SG Austin Rivers,,LeBron James,F,17.95%,61.75
8,1312467904,johnlezotte,0,302.25,UTIL Giannis Antetokounmpo PF Kevin Durant SG Bradley Beal G Kelly Oubre Jr. F Kevon Looney PG Tomas Satoransky SF DeAndre' Bembry C Thomas Bryant,,Miles Bridges,SF,17.95%,14.5
10,1311860695,Gol.D_W0lf,0,301,PF Kawhi Leonard SF Tobias Harris SG Jimmy Butler C Paul Millsap PG Derrick Rose F Andrew Wiggins UTIL Reggie Jackson G Austin Rivers,,Giannis Antetokounmpo,F,17.95%,34
11,1312477791,imdirtydan1796,0,298.25,PG Jrue Holiday C Nikola Vucevic SG Bradley Beal SF Otto Porter Jr. G Lonzo Ball UTIL Juancho Hernang?mez F Kent Bazemore PF Jeff Green,,John Collins,UTIL,15.38%,45
12,1312582485,explicittm,0,296,UTIL Karl-Anthony Towns SG Bradley Beal PF Aaron Gordon C John Collins PG Malcolm Brogdon SF Kelly Oubre Jr. F Miles Bridges G Garrett Temple,,Trae Young,G,15.38%,25.5
13,1312467903,zandyshakur,0,291.5,PG Stephen Curry SG DeMar DeRozan SF Aaron Gordon PF Serge Ibaka G J.J. Barea UTIL JaVale McGee F Wesley Matthews C Jonas Valanciunas,,Klay Thompson,G,15.38%,26.5
14,1312199505,bootyflix,0,285.25,F Giannis Antetokounmpo PG Kyle Lowry C Julius Randle SF Otto Porter Jr. G Lonzo Ball SG Kent Bazemore UTIL Cody Zeller PF Dewayne Dedmon,,Danny Green,F,12.82%,17.25
15,1312259210,kjayallday,0,284.5,PG Stephen Curry SF Paul George G Luka Doncic PF Robert Covington SG Derrick Rose C JaVale McGee UTIL Wesley Matthews F Kentavious Caldwell-Pope,,Steven Adams,C,12.82%,32.5
16,1312436937,PH-Ssense,0,284.25,PF LeBron James C Joel Embiid SG Bradley Beal UTIL Juancho Hernang?mez F Danny Green G Kent Bazemore SF Miles Bridges PG Austin Rivers,,Nikola Jokic,C,12.82%,45
17,1311936780,ParmDaGoat,0,275.75,PG Russell Westbrook PF Julius Randle C DeAndre Jordan SG Jamal Murray SF Danilo Gallinari F Danny Green UTIL Patty Mills G Austin Rivers,,JJ Redick,UTIL,12.82%,35.25
17,1312144188,petermao,0,275.75,SF Kawhi Leonard PG Jrue Holiday F Julius Randle SG Malcolm Brogdon C JaVale McGee G Fred VanVleet PF Taj Gibson UTIL Kent Bazemore,,Tomas Satoransky,SG,12.82%,36.5
19,1312276629,TuneSquad25,0,274.25,PG Jrue Holiday UTIL Bradley Beal PF Julius Randle C Steven Adams G Trae Young F Jerami Grant SF Miles Bridges SG Austin Rivers,,JaVale McGee,C,12.82%,13
20,1312670944,camthelambbb,0,273.75,F Giannis Antetokounmpo PF Anthony Davis UTIL Klay Thompson SF Kelly Oubre Jr. G Kent Bazemore C Frank Kaminsky PG Tomas Satoransky SG Austin Rivers,,Jimmy Butler,SG,10.26%,58.5
21,1312437095,Jebyuse,0,268.75,PF Anthony Davis PG Russell Westbrook C Nikola Jokic SF Danny Green F DeAndre' Bembry SG Austin Rivers G Jerian Grant UTIL Ed Davis,,Brandon Ingram,SF,10.26%,7
22,1312087310,Uberlox,0,265.5,SG Bradley Beal PG Kemba Walker G Klay Thompson PF Aaron Gordon UTIL Otto Porter Jr. F JJ Redick C Kevon Looney SF Miles Bridges,,Kawhi Leonard,PF,10.26%,62.25
23,1312118617,andrew2231,0,261,PF Anthony Davis C Joel Embiid PG Jamal Murray UTIL Brandon Ingram SF Kent Bazemore G E'Twaun Moore F Dewayne Dedmon SG George Hill,,Luka Doncic,PG,10.26%,21.5
24,1312097230,njunaid,0,259,SF LeBron James G Klay Thompson F Aaron Gordon PF Markieff Morris PG Trae Young UTIL Serge Ibaka C Dewayne Dedmon SG Austin Rivers,,Alec Burks,SG,10.26%,14
24,1312665056,janimarte,0,259,F Giannis Antetokounmpo UTIL Jimmy Butler SF Otto Porter Jr. G Lou Williams SG JJ Redick PG Reggie Jackson C JaVale McGee PF Jerami Grant,,Russell Westbrook,PG,10.26%,71.75
26,1312563921,Acuvigor,0,252.75,F Anthony Davis C Nikola Jokic UTIL Marc Gasol SF Otto Porter Jr. SG Kent Bazemore PG George Hill G Austin Rivers PF Glenn Robinson III,,Aaron Gordon,PF,10.26%,39
27,1312351498,NytroCoCo,0,248,SF DeMar DeRozan C Marc Gasol F Julius Randle UTIL Steven Adams PG Dennis Schroder G Wesley Matthews SG Kelly Oubre Jr. PF Trey Lyles,,Dewayne Dedmon,C,10.26%,25
28,1311798125,TimDuncansKneeBrace,0,243,C Anthony Davis UTIL DeAndre Jordan SG Jimmy Butler PG Jeff Teague SF Brandon Ingram G Kelly Oubre Jr. F Danny Green PF Jonathan Isaac,,Stephen Curry,PG,10.26%,69.25
29,1312609517,frankdisco,0,242,SG Bradley Beal F Tobias Harris PF Montrezl Harrell C John Collins SF Otto Porter Jr. G Jeremy Lamb PG Jeremy Lin UTIL Alec Burks,,Jrue Holiday,PG,10.26%,40.25
30,1312598088,SaifShakur,0,237.25,F LeBron James SF Kevin Durant SG Klay Thompson PG Derrick Rose G Fred VanVleet C Boban Marjanovic PF DeMarre Carroll UTIL Patrick Beverley,,Marc Gasol,C,10.26%,21
31,1312119216,Doug1999,0,235.5,SF LeBron James PG Stephen Curry UTIL Kawhi Leonard C DeAndre Jordan SG Andre Iguodala PF Jordan Bell G Shaun Livingston F Michael Beasley,,Wesley Matthews,SF,10.26%,27
32,1311881636,jmkitchen1,0,235.25,C Nikola Jokic F Julius Randle UTIL Steven Adams PG Luka Doncic PF Markieff Morris G Trae Young SF Miles Bridges SG Kevin Huerter,,DeAndre Jordan,UTIL,7.69%,10
33,1312650304,nsnyder2202,0,232.5,UTIL Russell Westbrook PG Kemba Walker PF Pascal Siakam G Trae Young SG JJ Redick C JaVale McGee SF Rodney Hood F Miles Bridges,,Derrick Rose,PG,7.69%,21.25
34,1312135797,OBxOBrien8,0,227.5,PF Kevin Durant G John Wall C Nikola Jokic UTIL Kyle Anderson SF Rodney Hood F Kent Bazemore PG Alec Burks SG Kevin Huerter,,Markieff Morris,PF,7.69%,23
35,1312235706,sabataman,0,224.5,SF LeBron James SG Jrue Holiday C Steven Adams PG Luka Doncic UTIL Brook Lopez F Miles Bridges G Alec Burks PF Frank Kaminsky,,Dennis Schroder,G,7.69%,18.5
36,1312403438,wubsy18,0,221.75,C Anthony Davis PG Kyle Lowry UTIL Klay Thompson G Lou Williams SG JJ Redick F Rodney Hood SF Danny Green PF DeMarre Carroll,,Kevon Looney,PF,7.69%,22
37,1311890845,luismarroking88,0,220.5,F Giannis Antetokounmpo UTIL Anthony Davis G Dennis Schroder SF Kelly Oubre Jr. PF Kevon Looney PG Derrick White SG Alec Burks C Mason Plumlee,,Jamal Murray,PG,7.69%,50.5
38,1312581604,Centonzio,0,207.75,C Marc Gasol SF Robert Covington F Markieff Morris UTIL John Collins PF Pascal Siakam PG Trae Young SG Brandon Ingram G Kyle Anderson,,DeAndre' Bembry,SF,7.69%,28.25
39,1311962171,eagless215,0,200.25,SF Giannis Antetokounmpo F Pascal Siakam SG Jeremy Lamb UTIL Dennis Schroder C Serge Ibaka G Brandon Ingram PG Jeremy Lin PF JaMychal Green,,Pascal Siakam,F,7.69%,27
,,,,,,,Jeremy Lamb,SG,7.69%,39.25
,,,,,,,Serge Ibaka,C,7.69%,30.5
,,,,,,,Kevin Durant,PF,7.69%,58.5
,,,,,,,Rodney Hood,SF,7.69%,18.5
,,,,,,,Lonzo Ball,G,7.69%,37.5
,,,,,,,Paul George,SF,7.69%,77.25
,,,,,,,Juancho Hernang?mez,UTIL,7.69%,25
,,,,,,,Jonathan Isaac,PF,5.13%,22.5
,,,,,,,Tobias Harris,SF,5.13%,24.5
,,,,,,,Reggie Jackson,UTIL,5.13%,33.25
,,,,,,,Kevin Huerter,SG,5.13%,20.25
,,,,,,,Jeremy Lin,PG,5.13%,4.75
,,,,,,,JaMychal Green,PF,5.13%,39.25
,,,,,,,Kemba Walker,PG,5.13%,27
,,,,,,,Joel Embiid,C,5.13%,36
,,,,,,,E'Twaun Moore,G,5.13%,31.5
,,,,,,,George Hill,SG,5.13%,8
,,,,,,,Kyle Anderson,UTIL,5.13%,27.75
,,,,,,,Malcolm Brogdon,SG,5.13%,24.5
,,,,,,,Fred VanVleet,G,5.13%,9.75
,,,,,,,Taj Gibson,PF,5.13%,29.5
,,,,,,,J.J. Barea,PG,5.13%,25.5
,,,,,,,Kyle Lowry,PG,5.13%,24.5
,,,,,,,Frank Kaminsky,PF,5.13%,14.75
,,,,,,,Robert Covington,PF,5.13%,31.5
,,,,,,,Jerami Grant,F,5.13%,22.25
,,,,,,,DeMar DeRozan,SF,5.13%,48.25
,,,,,,,Lou Williams,G,5.13%,20
,,,,,,,DeMarre Carroll,PF,5.13%,20.25
,,,,,,,Jeff Teague,PG,2.56%,37
,,,,,,,Paul Millsap,C,2.56%,31
,,,,,,,Andrew Wiggins,F,2.56%,42.5
,,,,,,,Torrey Craig,SF,2.56%,15
,,,,,,,Derrick White,PG,2.56%,14
,,,,,,,Mason Plumlee,C,2.56%,27.25
,,,,,,,Pat Connaughton,F,2.56%,8.5
,,,,,,,Danilo Gallinari,SF,2.56%,29.75
,,,,,,,Patty Mills,UTIL,2.56%,15.75
,,,,,,,Cedi Osman,F,2.56%,26.25
,,,,,,,Andre Iguodala,SG,2.56%,7.25
,,,,,,,Jordan Bell,PF,2.56%,8.25
,,,,,,,Shaun Livingston,G,2.56%,13.5
,,,,,,,Michael Beasley,F,2.56%,3.25
,,,,,,,John Wall,G,2.56%,0
,,,,,,,Cody Zeller,UTIL,2.56%,25
,,,,,,,Brook Lopez,UTIL,2.56%,25.25
,,,,,,,Mike Conley,PG,2.56%,44.25
,,,,,,,Kentavious Caldwell-Pope,F,2.56%,23.75
,,,,,,,Trey Lyles,PF,2.56%,16.5
,,,,,,,Jerian Grant,G,2.56%,4.5
,,,,,,,Ed Davis,UTIL,2.56%,14.75
,,,,,,,Jonas Valanciunas,C,2.56%,39
,,,,,,,Thomas Bryant,C,2.56%,33.25
,,,,,,,Nikola Vucevic,C,2.56%,50.75
,,,,,,,Jeff Green,PF,2.56%,0
,,,,,,,Nicolas Batum,G,2.56%,42.25
,,,,,,,OG Anunoby,F,2.56%,14.75
,,,,,,,Lance Stephenson,UTIL,2.56%,6.75
,,,,,,,Glenn Robinson III,PF,2.56%,5.25
,,,,,,,Karl-Anthony Towns,UTIL,2.56%,73
,,,,,,,Garrett Temple,G,2.56%,10.25
,,,,,,,Boban Marjanovic,C,2.56%,32.5
,,,,,,,Patrick Beverley,UTIL,2.56%,6.75
,,,,,,,Montrezl Harrell,PF,2.56%,13.25
