Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1303984116,tjwellman,0,290.5,PG Russell Westbrook F Jimmy Butler PF Jaren Jackson Jr. SG Eric Gordon G Dennis Schroder UTIL Brandon Ingram SF Terrence Ross C Aron Baynes,,Russell Westbrook,G,48.72%,51.25
2,1303901712,yourself2k8,0,290,C Andre Drummond UTIL Nikola Jokic SG D'Angelo Russell F Brandon Ingram PG Lonzo Ball PF Marcus Morris G Marcus Smart SF Josh Jackson,,Elie Okobo,PG,43.59%,19.5
3,1303385010,joshwright13,0,272.5,SG James Harden PG Russell Westbrook SF Jimmy Butler UTIL Jarrett Allen PF Mason Plumlee F Josh Jackson C Aron Baynes G Elie Okobo,,Aron Baynes,C,33.33%,24.75
4,1303704133,HockeyBalboa7,0,270.5,PG Russell Westbrook SF Jimmy Butler PF Jayson Tatum UTIL Paul Millsap SG Dennis Schroder C Bam Adebayo G Marcus Smart F James Johnson,,Joel Embiid,C,30.77%,42.75
5,1303344808,milli88,0,264.25,PG Russell Westbrook PF Anthony Davis SF Nikola Mirotic C Larry Nance Jr. SG Tim Frazier F Josh Jackson UTIL Aron Baynes G Elie Okobo,,Jimmy Butler,SF,28.21%,34.25
6,1303187786,crams,0,263.75,G Russell Westbrook F Anthony Davis SF Jeremy Lamb PF Marcus Morris UTIL JJ Redick SG Tim Frazier C Aron Baynes PG Elie Okobo,,Kelly Oubre Jr.,G,25.64%,14
7,1303200121,raymond567,0,255.25,PG James Harden PF Anthony Davis SG Eric Gordon SF Justin Holiday G Kelly Oubre Jr. F Jerami Grant C Aron Baynes UTIL Elie Okobo,,Larry Nance Jr.,C,25.64%,15.25
8,1304126165,rchamp97,0,250.25,C Nikola Vucevic SF DeMar DeRozan PG Luka Doncic PF Jaren Jackson Jr. SG Justin Holiday F Marcus Morris UTIL Derrick Favors G Wayne Ellington,,Josh Jackson,F,25.64%,33.25
9,1303382894,sdaniels90,0,248.75,F LeBron James C Nikola Vucevic SG Jeremy Lamb PF Kyle Kuzma SF Markieff Morris UTIL Marcus Morris G Rodney McGruder PG Elie Okobo,,Markieff Morris,SF,25.64%,10.25
9,1303867401,aaronvan,0,248.75,C Joel Embiid PG Kyrie Irving G Trae Young PF Larry Nance Jr. SF Justin Holiday SG Dwyane Wade F Josh Jackson UTIL Aron Baynes,,Marcus Morris,PF,20.51%,22
11,1303286831,PsychoT23232323,0,248,C Andre Drummond SF Jimmy Butler SG Jamal Murray PG Trae Young G Ricky Rubio PF Jaren Jackson Jr. F Taurean Prince UTIL Wayne Selden Jr.,,Marcus Smart,SG,20.51%,35.25
12,1303915242,Durrely,0,247.25,PG Ben Simmons UTIL Rudy Gobert F Julius Randle C Steven Adams G Dennis Schroder PF Larry Nance Jr. SG Kelly Oubre Jr. SF Josh Jackson,,James Harden,PG,12.82%,50.75
13,1304104771,unahb4,0,245,C Joel Embiid UTIL Nikola Vucevic G Josh Richardson PF Jaren Jackson Jr. SF Markieff Morris SG Tim Frazier F Jeff Green PG Elie Okobo,,Jaren Jackson Jr.,PF,12.82%,50
14,1304106065,Naravuth,0,243,PG Russell Westbrook UTIL Joel Embiid SF Jimmy Butler PF Markieff Morris SG Tim Frazier F Josh Jackson C Aron Baynes G Elie Okobo,,Nikola Vucevic,C,12.82%,53.75
15,1303368473,siever88,0,242.25,PG Russell Westbrook C Jusuf Nurkic SG CJ McCollum SF Evan Fournier PF Marcus Morris UTIL Nicolas Batum G Kent Bazemore F P.J. Tucker,,Jeff Green,F,12.82%,9.25
16,1303917455,Deramps,0,238.75,PG Russell Westbrook C Joel Embiid PF Nikola Mirotic UTIL Jusuf Nurkic F Mason Plumlee SF Josh Jackson SG Malik Beasley G Elie Okobo,,Ben Simmons,SF,12.82%,38.5
17,1303538942,scoot18uga,0,236.25,PG Russell Westbrook C Joel Embiid SF Ben Simmons SG Kelly Oubre Jr. PF Jerami Grant F Josh Jackson UTIL Aron Baynes G Elie Okobo,,JJ Redick,UTIL,10.26%,15.75
18,1303866873,J35ter,0,234,UTIL Russell Westbrook PG Kyrie Irving F Eric Gordon SG Gordon Hayward C JaVale McGee SF Terrence Ross G Evan Turner PF Mason Plumlee,,Tim Frazier,SG,10.26%,27
19,1303974482,BennyG22,0,233,SG James Harden C Joel Embiid F Josh Richardson G JJ Redick PF Jonathan Isaac SF Josh Jackson UTIL Aron Baynes PG Elie Okobo,,Eric Gordon,SG,10.26%,36.25
20,1303337000,duffey2112,0,232.75,PG Russell Westbrook UTIL Ricky Rubio G Spencer Dinwiddie F Eric Gordon PF Kyle Kuzma SG Joe Ingles SF Kent Bazemore C Cody Zeller,,Jerami Grant,F,10.26%,12.25
21,1303615702,manster829,0,232,UTIL Russell Westbrook PG Kyrie Irving G Ricky Rubio SG Dennis Schroder F Brandon Ingram PF Jerami Grant SF James Ennis III C Aron Baynes,,Luka Doncic,PG,10.26%,29.5
22,1303571120,ConnorG17,0,231.25,PF Blake Griffin C Julius Randle UTIL Trae Young F Jaren Jackson Jr. PG Collin Sexton G Gordon Hayward SG JJ Redick SF Kent Bazemore,,Kent Bazemore,SF,10.26%,26.5
23,1303227640,jocampo316,0,229.25,G James Harden PG Luka Doncic UTIL Steven Adams PF Marcus Morris SG Dwyane Wade C JaVale McGee SF Wesley Matthews F Evan Turner,,Dennis Schroder,SG,10.26%,36.75
24,1304023866,rxchelcxroline,0,227.25,G Russell Westbrook UTIL Joel Embiid F Jimmy Butler SF Markieff Morris SG Marcus Smart PF Jeff Green C Aron Baynes PG Elie Okobo,,Anthony Davis,F,7.69%,65.25
25,1303642819,andrew2231,0,224.5,C Joel Embiid SF Ben Simmons UTIL Clint Capela PF Larry Nance Jr. F Markieff Morris PG Ryan Arcidiacono SG Marcus Smart G Elie Okobo,,Justin Holiday,SF,7.69%,32.5
26,1303845673,Centonzio,0,222,UTIL Nikola Vucevic PG Luka Doncic C DeAndre Jordan SG Spencer Dinwiddie SF Evan Fournier F Markieff Morris PF Trevor Ariza G Marcus Smart,,JaVale McGee,C,7.69%,18.25
27,1303977241,malowsed,0,220.75,PG Russell Westbrook SF Paul George PF Larry Nance Jr. SG J.J. Barea C JaVale McGee G Kent Bazemore UTIL Wendell Carter Jr. F Justise Winslow,,Evan Turner,F,7.69%,18.75
28,1303455860,FrankTheTank2551,0,220.25,PG Russell Westbrook PF Blake Griffin UTIL Jimmy Butler C Larry Nance Jr. SF Kelly Oubre Jr. SG Marcus Smart F Jeff Green G Elie Okobo,,Trae Young,PG,7.69%,25
28,1304160087,alexmkt,0,220.25,PG Russell Westbrook PF Blake Griffin UTIL Jimmy Butler C Larry Nance Jr. SF Kelly Oubre Jr. SG Marcus Smart F Jeff Green G Elie Okobo,,Ricky Rubio,G,7.69%,29
30,1304052788,nikki_heels,0,220,PG Russell Westbrook UTIL Jimmy Butler C Julius Randle PF Markieff Morris G Lonzo Ball SF Terrence Ross SG Wayne Ellington F Josh Jackson,,CJ McCollum,SG,7.69%,42
31,1303959645,kenall86,0,218.5,C Joel Embiid PG Zach LaVine UTIL CJ McCollum F Paul Millsap G JJ Redick SF Jerami Grant SG Evan Turner PF Michael Kidd-Gilchrist,,Evan Fournier,SF,7.69%,20.25
