Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1292874498,Jdoobz,0,371.25,UTIL Kevin Durant F DeMar DeRozan C Julius Randle G Jamal Murray PG Malcolm Brogdon SG J.J. Barea PF Marvin Bagley III SF Trey Lyles,,Eric Gordon,F,33.50%,38.5
2,1293089308,kingbrownie,0,350.75,SF Kevin Durant C Julius Randle PF Harrison Barnes SG Buddy Hield UTIL Tristan Thompson F Marcus Morris PG Collin Sexton G Quinn Cook,,James Harden,PG,27.50%,66
3,1293210765,I10BALLERS,0,345,UTIL Giannis Antetokounmpo SF Nikola Mirotic PF Harrison Barnes SG Buddy Hield C Tristan Thompson F E'Twaun Moore PG Collin Sexton G Quinn Cook,,Nikola Mirotic,PF,27.00%,40.75
4,1293237099,KevinCarter83,0,340.5,SF Giannis Antetokounmpo PF Kevin Durant PG Eric Bledsoe UTIL Justin Holiday G J.J. Barea SG Eric Gordon F Taj Gibson C Nerlens Noel,,Klay Thompson,G,23.50%,38
5,1293108194,WhyHeDoDatBoiLikeDat,0,336,PG Jrue Holiday SF Paul George C Julius Randle PF Nikola Mirotic UTIL Derrick Rose G J.J. Barea SG Eric Gordon F Mason Plumlee,,Bogdan Bogdanovic,SF,23.50%,18.5
6,1293201550,irish2305,0,333.25,G James Harden C Karl-Anthony Towns SG Bradley Beal PG Collin Sexton UTIL Justin Holiday SF Eric Gordon PF Nemanja Bjelica F Bogdan Bogdanovic,,Clint Capela,C,23.50%,37.5
7,1293024277,patriotsfanforever,0,331,UTIL Giannis Antetokounmpo G De'Aaron Fox PF Nikola Mirotic F Jayson Tatum C Tristan Thompson SG Justin Holiday PG J.J. Barea SF Jonas Jerebko,,Jrue Holiday,SG,21.50%,38.25
8,1292985077,bjjohn14,0,328.75,PF Kevin Durant SG Zach LaVine F Robert Covington SF Harrison Barnes C Tristan Thompson G E'Twaun Moore PG Quinn Cook UTIL Dario Saric,,Julius Randle,C,19.00%,61.25
9,1293196449,coachkramer88,0,328,PG James Harden PF Kevin Durant UTIL Klay Thompson SG Derrick Rose F Eric Gordon G Marcus Smart SF Iman Shumpert C Mason Plumlee,,Russell Westbrook,G,16.50%,51.5
10,1293352438,hwv1981,0,327.25,UTIL Jrue Holiday PF Paul George F Nikola Mirotic SG Klay Thompson SF Buddy Hield C Tristan Thompson PG J.J. Barea G Bogdan Bogdanovic,,John Wall,UTIL,16.00%,42.75
11,1293017721,jmegill,0,324,PG Jrue Holiday SG Bradley Beal C Julius Randle PF Nikola Mirotic G Klay Thompson F Otto Porter Jr. SF Eric Gordon UTIL Jordan Bell,,Justin Holiday,F,16.00%,42.75
11,1293217834,jasonc617,0,324,PG Jrue Holiday PF Julius Randle F Khris Middleton SF Nikola Mirotic G Klay Thompson UTIL Tristan Thompson SG J.J. Barea C Damian Jones,,Willie Cauley-Stein,C,15.50%,16.5
13,1293103962,jakel2423,0,323,PG James Harden G Jrue Holiday C Julius Randle PF Nikola Mirotic SG Eric Gordon UTIL Marvin Bagley III SF Bogdan Bogdanovic F Cheick Diallo,,Quinn Cook,G,15.50%,23.5
13,1293238179,bigal6692,0,323,F Paul George C Clint Capela UTIL Khris Middleton SG Dennis Schroder SF Jabari Parker G Buddy Hield PG Collin Sexton PF Marvin Bagley III,,Taj Gibson,F,14.50%,12.5
13,1293387194,brettdogs,0,323,PG Kyrie Irving C Clint Capela PF Julius Randle SG Jamal Murray UTIL Jeff Teague G Collin Sexton F Justin Holiday SF Markieff Morris,,Derrick Rose,SG,14.50%,33
16,1293314675,beamet,0,322.5,G Zach LaVine F LaMarcus Aldridge PF Julius Randle UTIL Nikola Mirotic PG Jamal Murray C Tristan Thompson SG J.J. Barea SF Bogdan Bogdanovic,,Jabari Parker,UTIL,14.50%,47.75
17,1293006712,dmoney04,0,322.25,C Nikola Jokic UTIL Julius Randle SG Klay Thompson SF Rudy Gay PF Jabari Parker F Buddy Hield PG Malcolm Brogdon G Justin Holiday,,Karl-Anthony Towns,UTIL,14.00%,74
17,1293242484,lipplock512,0,322.25,PG James Harden C Clint Capela G De'Aaron Fox F Jabari Parker PF Otto Porter Jr. SG J.J. Barea SF Eric Gordon UTIL Bogdan Bogdanovic,,Buddy Hield,SG,13.50%,44.25
