Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1300282654,Gstacksisback,0,306.25,SG James Harden C Anthony Davis F Nikola Mirotic PF Larry Nance Jr. PG Ryan Arcidiacono SF Jonathan Isaac UTIL Wilson Chandler G Jonathon Simmons,,Jonathon Simmons,SG,38.46%,14.5
2,1300310758,ghbaker,0,306,SF Giannis Antetokounmpo PG Russell Westbrook C Jarrett Allen F Wendell Carter Jr. SG Rodney Hood PF Jerami Grant G Kelly Oubre Jr. UTIL Mohamed Bamba,,James Harden,PG,33.33%,78.75
3,1300108429,crams,0,290.75,PF Anthony Davis UTIL Jrue Holiday C Nikola Vucevic PG Spencer Dinwiddie SF Eric Gordon F Jonathan Isaac SG Jonathon Simmons G Tim Frazier,,Larry Nance Jr.,C,33.33%,22.5
4,1300825232,smgillis7,0,287.25,G James Harden PF Anthony Davis F Otto Porter Jr. SG Eric Gordon C Larry Nance Jr. SF Jonathan Isaac UTIL Jonathon Simmons PG Tim Frazier,,Anthony Davis,PF,30.77%,58.25
5,1300507910,nikki_heels,0,281.5,PG James Harden C Montrezl Harrell F Nikola Mirotic SF Jeremy Lamb PF Danilo Gallinari SG Terrence Ross UTIL Thomas Bryant G Jonathon Simmons,,Eric Gordon,SF,25.64%,26.75
6,1300815019,BrandanErhard215,0,278.75,PG James Harden G Jrue Holiday UTIL Montrezl Harrell SG Eric Gordon C Larry Nance Jr. PF Markieff Morris F Jarell Martin SF Jonathon Simmons,,Jonathan Isaac,F,25.64%,28.75
7,1300559164,T-Glide,0,273,G James Harden F Anthony Davis UTIL Nikola Mirotic C Larry Nance Jr. SF Rodney Hood PF Jonathan Isaac PG Malik Monk SG Jonathon Simmons,,Nikola Mirotic,PF,25.64%,36.25
7,1300595821,rxchelcxroline,0,273,G James Harden F Anthony Davis UTIL Nikola Mirotic C Larry Nance Jr. SF Rodney Hood PF Jonathan Isaac PG Malik Monk SG Jonathon Simmons,,Julius Randle,PF,20.51%,40
9,1300648092,johnnydees,0,271.5,F Anthony Davis C Nikola Vucevic UTIL Enes Kanter SG Justin Holiday SF Markieff Morris G Terrence Ross PG D.J. Augustin PF Jerami Grant,,Malik Monk,G,17.95%,9.75
10,1300109609,FrankTheTank2551,0,269.75,PG James Harden PF Anthony Davis G Eric Gordon C Larry Nance Jr. F Marvin Williams UTIL Cody Zeller SF Jonathan Isaac SG Jonathon Simmons,,Jrue Holiday,UTIL,15.38%,49.25
10,1300346241,yihaosong2,0,269.75,PG James Harden PF Anthony Davis G Eric Gordon C Larry Nance Jr. F Marvin Williams UTIL Cody Zeller SF Jonathan Isaac SG Jonathon Simmons,,Dennis Schroder,PG,15.38%,11.5
12,1300816002,frankdisco,0,261.25,SG Jrue Holiday SF Khris Middleton PG CJ McCollum C Steven Adams PF Robert Covington F JJ Redick G Shai Gilgeous-Alexander UTIL Jonathan Isaac,,Justin Holiday,SG,15.38%,25.5
13,1300850546,TBGDrizzy,0,258.25,PG James Harden G Bradley Beal SF Nikola Mirotic C Enes Kanter F Otto Porter Jr. PF Dewayne Dedmon UTIL Wilson Chandler SG Jonathon Simmons,,Terrence Ross,G,15.38%,28.25
14,1300578322,sabataman,0,258,PG John Wall SF Ben Simmons F Jabari Parker G Eric Gordon PF Markieff Morris SG Shai Gilgeous-Alexander UTIL Kent Bazemore C Brook Lopez,,Nikola Vucevic,C,12.82%,45
15,1300455284,kingbrady88,0,256.5,PG Jrue Holiday C Steven Adams PF Julius Randle SF Danilo Gallinari F Joe Ingles G Eric Gordon SG Lou Williams UTIL Jae Crowder,,Marvin Williams,F,12.82%,9.5
16,1300341898,mfernbach,0,255.25,PG Jrue Holiday G Zach LaVine UTIL Nikola Mirotic SG Tim Hardaway Jr. F Robert Covington PF Noah Vonleh SF Rodney Hood C Richaun Holmes,,Jimmy Butler,UTIL,12.82%,18
17,1300679105,totality17,0,250.5,PG Russell Westbrook SF Jimmy Butler PF Julius Randle G Dennis Schroder UTIL Wendell Carter Jr. C Brook Lopez SG Nicolas Batum F Josh Jackson,,Montrezl Harrell,F,12.82%,35.5
18,1300611120,IcePharoah82,0,247.75,PG James Harden PF Nikola Mirotic C Enes Kanter G Dennis Schroder F Larry Nance Jr. SF Taurean Prince SG Rodney Hood UTIL Jonathan Isaac,,Steven Adams,UTIL,12.82%,19.25
19,1300507209,Deramps,0,247.25,PF Anthony Davis C Joel Embiid UTIL Nikola Vucevic F Larry Nance Jr. SF Jonathan Isaac PG Tony Parker SG Malik Monk G Jonathon Simmons,,Enes Kanter,C,12.82%,24
20,1300350338,jmoyer12687,0,246.5,PG John Wall C Nikola Vucevic PF Montrezl Harrell SG Joe Ingles SF Eric Gordon UTIL Markieff Morris G Terrence Ross F DeAndre' Bembry,,Rodney Hood,SG,12.82%,24.25
21,1300519131,appelk4,0,245.5,PG Russell Westbrook SF Nikola Mirotic C Tristan Thompson SG Spencer Dinwiddie G Justin Holiday PF Markieff Morris UTIL Emmanuel Mudiay F Terrence Ross,,Markieff Morris,UTIL,12.82%,36.75
22,1300397702,nathanb95,0,245.25,PG Kemba Walker UTIL Jimmy Butler PF Julius Randle SF Jeremy Lamb C John Collins G J.J. Barea SG Terrence Ross F Taj Gibson,,Otto Porter Jr.,SF,12.82%,15.25
23,1300524151,BennyG22,0,245,UTIL Anthony Davis PG Jrue Holiday G Bradley Beal SF Otto Porter Jr. PF Larry Nance Jr. C Cody Zeller SG Malik Monk F Jonathon Simmons,,Spencer Dinwiddie,PG,10.26%,25.75
24,1300420425,duffey2112,0,243.5,PG Donovan Mitchell G CJ McCollum SF Nikola Mirotic UTIL Eric Bledsoe C John Collins F Eric Gordon SG Shai Gilgeous-Alexander PF Derrick Favors,,Jeremy Lamb,SF,10.26%,30.75
25,1300384404,cjorgy15,0,242.25,PG James Harden SF Paul George C Clint Capela F Jabari Parker SG Wesley Matthews UTIL Dorian Finney-Smith G Landry Shamet PF Maxi Kleber,,Paul George,PF,10.26%,31
26,1300277766,drose231,0,240.25,PF Anthony Davis C Rudy Gobert UTIL Steven Adams SF Jeremy Lamb SG Eric Gordon F Larry Nance Jr. PG Malik Monk G Jonathon Simmons,,Allonzo Trier,SG,10.26%,11.75
27,1300551822,nickel_19,0,235.75,PG James Harden SF Paul George C Steven Adams UTIL Julius Randle SG Andrew Wiggins PF Dewayne Dedmon G Malik Monk F Jonathon Simmons,,John Wall,G,10.26%,32.25
28,1300883471,GolfGuy0819,0,232,F Giannis Antetokounmpo G Khris Middleton UTIL Dennis Schroder PG Shai Gilgeous-Alexander PF Wendell Carter Jr. C Brook Lopez SG Nicolas Batum SF Wesley Matthews,,Khris Middleton,SG,10.26%,32
29,1300963185,sjacks18,0,227.5,SF Paul George PF Tobias Harris C Julius Randle G Trae Young PG Collin Sexton UTIL Justin Holiday F Marvin Williams SG Allonzo Trier,,Shai Gilgeous-Alexander,SG,10.26%,33.75
30,1300328517,citichix,0,225.25,G John Wall C Steven Adams SF Danilo Gallinari PG Dennis Schroder PF Rudy Gay UTIL Jarrett Allen SG Justin Holiday F JJ Redick,,Brook Lopez,C,10.26%,25.75
31,1300339818,petermao,0,225,UTIL James Harden PG Kemba Walker G Spencer Dinwiddie SF Taurean Prince C Derrick Favors PF Marvin Williams F P.J. Tucker SG Allonzo Trier,,Cody Zeller,UTIL,7.69%,30.75
32,1300929821,Slimhopes,0,224,C Joel Embiid PG Ben Simmons UTIL Tristan Thompson G Evan Fournier SF Cedi Osman F Marvin Williams SG Terrence Ross PF Jeff Green,,Trae Young,PG,7.69%,32.75
33,1300353851,FrankCastle2015,0,213,PF Anthony Davis C Nikola Vucevic UTIL Enes Kanter SF Otto Porter Jr. SG Justin Holiday F Larry Nance Jr. PG Jamal Crawford G Jonathon Simmons,,Russell Westbrook,PG,7.69%,77.25
34,1300741888,DrStevenBrule,0,205.5,PG John Wall SF Jimmy Butler F Julius Randle UTIL Dennis Schroder SG Justin Holiday PF Larry Nance Jr. C Brook Lopez G Nicolas Batum,,Wendell Carter Jr.,F,7.69%,19.25
35,1300382354,wcgopher,0,203.25,SF Khris Middleton C Deandre Ayton PF Julius Randle PG Trae Young SG Jeremy Lamb UTIL Tristan Thompson F Taurean Prince G Allonzo Trier,,Danilo Gallinari,SF,7.69%,55.5
36,1300375617,bsung29,0,201.5,SG Khris Middleton C Montrezl Harrell PF Julius Randle G Spencer Dinwiddie F John Collins PG Dennis Schroder SF Otto Porter Jr. UTIL Jeff Green,,Taurean Prince,SF,7.69%,21.75
37,1300289534,hfernandez8,0,184.5,PF Paul George SF Jimmy Butler C Enes Kanter G Tim Hardaway Jr. PG Trae Young UTIL Derrick Rose SG Allonzo Trier F Damyean Dotson,,John Collins,F,7.69%,28
38,1300186125,manster829,0,181.5,SG DeMar DeRozan UTIL Jimmy Butler F Montrezl Harrell PF Nikola Mirotic PG Eric Bledsoe SF Rudy Gay C Mohamed Bamba G Malik Monk,,Tristan Thompson,UTIL,7.69%,10
39,1300852825,Bro0227,0,0,,,Nicolas Batum,SG,7.69%,30
,,,,,,,Tim Frazier,G,5.13%,42.5
,,,,,,,Eric Bledsoe,PG,5.13%,23.5
,,,,,,,Rudy Gay,SF,5.13%,21.25
,,,,,,,Mohamed Bamba,C,5.13%,16.25
,,,,,,,Wilson Chandler,UTIL,5.13%,21
,,,,,,,Tim Hardaway Jr.,G,5.13%,14.75
,,,,,,,Giannis Antetokounmpo,SF,5.13%,67.25
,,,,,,,Jarrett Allen,C,5.13%,29
,,,,,,,Jerami Grant,PF,5.13%,35.25
,,,,,,,JJ Redick,F,5.13%,31
,,,,,,,Kemba Walker,PG,5.13%,37.5
,,,,,,,Derrick Favors,C,5.13%,24
,,,,,,,Robert Covington,F,5.13%,39.75
,,,,,,,Joe Ingles,SG,5.13%,25.75
,,,,,,,Jeff Green,UTIL,5.13%,13.5
,,,,,,,Jabari Parker,F,5.13%,41
,,,,,,,Wesley Matthews,SG,5.13%,12.5
,,,,,,,CJ McCollum,G,5.13%,27.5
,,,,,,,Joel Embiid,C,5.13%,59
,,,,,,,Bradley Beal,G,5.13%,44.75
,,,,,,,Dewayne Dedmon,PF,5.13%,23.75
,,,,,,,Ben Simmons,SF,5.13%,35.5
,,,,,,,DeMar DeRozan,SG,2.56%,21
,,,,,,,Rudy Gobert,C,2.56%,58.5
,,,,,,,Ryan Arcidiacono,PG,2.56%,46.25
,,,,,,,Derrick Rose,UTIL,2.56%,22.25
,,,,,,,Damyean Dotson,F,2.56%,30
,,,,,,,Kelly Oubre Jr.,G,2.56%,37.5
,,,,,,,P.J. Tucker,F,2.56%,16
,,,,,,,Zach LaVine,G,2.56%,48.25
,,,,,,,Noah Vonleh,PF,2.56%,14.25
,,,,,,,Richaun Holmes,C,2.56%,28.5
,,,,,,,DeAndre' Bembry,F,2.56%,16.25
,,,,,,,Jamal Crawford,PG,2.56%,8
,,,,,,,Deandre Ayton,C,2.56%,24.25
,,,,,,,Clint Capela,C,2.56%,34.5
,,,,,,,Dorian Finney-Smith,UTIL,2.56%,19.25
,,,,,,,Landry Shamet,G,2.56%,11.25
,,,,,,,Maxi Kleber,PF,2.56%,14
,,,,,,,J.J. Barea,G,2.56%,38.25
,,,,,,,Taj Gibson,F,2.56%,24.5
,,,,,,,Donovan Mitchell,PG,2.56%,43.75
,,,,,,,Lou Williams,SG,2.56%,32.5
,,,,,,,Jae Crowder,UTIL,2.56%,7.5
,,,,,,,Tony Parker,PG,2.56%,9.5
,,,,,,,Thomas Bryant,UTIL,2.56%,2
,,,,,,,Emmanuel Mudiay,UTIL,2.56%,5.75
,,,,,,,Andrew Wiggins,SG,2.56%,18.75
,,,,,,,Kent Bazemore,UTIL,2.56%,26.25
,,,,,,,D.J. Augustin,PG,2.56%,18.5
,,,,,,,Josh Jackson,F,2.56%,28.75
,,,,,,,Jarell Martin,F,2.56%,14.75
,,,,,,,Evan Fournier,G,2.56%,30.75
,,,,,,,Cedi Osman,SF,2.56%,37.5
,,,,,,,Tobias Harris,PF,2.56%,36
,,,,,,,Collin Sexton,PG,2.56%,41
