Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1297484484,TeamNinjaBoot,0,360.25,PG James Harden UTIL Klay Thompson C Tristan Thompson SG Andrew Wiggins PF Al Horford F Justin Holiday G Eric Gordon SF Markieff Morris,,Tristan Thompson,UTIL,26.50%,37.75
2,1297944960,GiantNY,0,356,PG James Harden C Clint Capela PF Jabari Parker UTIL Tristan Thompson SF Jeremy Lamb F Eric Gordon SG Terrence Ross G Terry Rozier,,Justin Holiday,SG,24.50%,36.5
3,1297587408,illboyz24,0,355.75,PG James Harden C Nikola Vucevic SG Bradley Beal UTIL Gordon Hayward F Al Horford SF Eric Gordon PF P.J. Tucker G D.J. Augustin,,Al Horford,F,24.50%,38.5
4,1297455998,biglawrence36,0,351.75,PG James Harden PF Kevin Durant UTIL Kyrie Irving F Eric Gordon SG Marcus Smart SF P.J. Tucker C Aron Baynes G Shaun Livingston,,Kevin Durant,SF,24.00%,78
5,1297606118,Gucciman2001,0,348.75,G James Harden PF Kevin Durant C Clint Capela SG Eric Gordon SF Rodney Hood UTIL Jae Crowder PG Ryan Arcidiacono F Thon Maker,,Eric Gordon,SF,24.00%,45
5,1297981928,winnersedge16,0,348.75,PG James Harden F Kevin Durant SG Jeremy Lamb SF Otto Porter Jr. UTIL Brook Lopez C Cody Zeller PF P.J. Tucker G D.J. Augustin,,James Harden,G,21.50%,89
7,1298032458,justinswag99,0,347.25,PG Kyrie Irving UTIL LaMarcus Aldridge C Clint Capela F Jabari Parker PF Larry Nance Jr. G Justin Holiday SG Eric Gordon SF Markieff Morris,,Jeremy Lamb,SF,21.00%,41.5
8,1297478739,mahomies15,0,343.25,SF Kevin Durant PG Kyrie Irving SG Klay Thompson C Tristan Thompson PF Larry Nance Jr. F Markieff Morris UTIL P.J. Tucker G Andre Iguodala,,Nikola Vucevic,C,20.50%,57.5
9,1297457704,dootoo22,0,342.75,PG James Harden PF Kevin Durant C Tristan Thompson UTIL Wendell Carter Jr. SG Eric Gordon SF Rodney Hood G D.J. Augustin F Andre Iguodala,,Jabari Parker,PF,20.50%,39.5
10,1297874340,SportsKings1,0,341.5,PF Kevin Durant UTIL Kyrie Irving C Tristan Thompson G Joe Ingles SF Marcus Morris F Justin Holiday SG Bojan Bogdanovic PG Ryan Arcidiacono,,Kyrie Irving,PG,17.00%,58.25
11,1297437870,revnecro1273,0,339.75,PF Kevin Durant UTIL Clint Capela C Nikola Vucevic G Malcolm Brogdon SF Marcus Morris SG Justin Holiday F Marvin Williams PG Aaron Holiday,,Zach LaVine,PG,16.50%,47
12,1297438612,jrbruce84,0,339.5,PG James Harden G Jrue Holiday UTIL Clint Capela PF Larry Nance Jr. SG Eric Gordon SF Markieff Morris F Jae Crowder C Cody Zeller,,Joe Ingles,G,15.50%,26.5
13,1297466941,glag127,0,339.25,PG James Harden SG Klay Thompson UTIL Ricky Rubio C Tristan Thompson F Justin Holiday SF Eric Gordon PF Markieff Morris G Marcus Smart,,DeMar DeRozan,G,15.50%,37
14,1297486185,jmegill,0,335.25,PG James Harden C Nikola Vucevic SG Bradley Beal PF Otto Porter Jr. F Gordon Hayward SF Eric Gordon G D.J. Augustin UTIL Aaron Holiday,,Jrue Holiday,UTIL,15.00%,35.5
15,1297459513,Michael_Pierce,0,333.75,SF Kevin Durant PF LaMarcus Aldridge UTIL Tristan Thompson F Otto Porter Jr. C Myles Turner SG Justin Holiday G Eric Gordon PG D.J. Augustin,,Nikola Mirotic,SF,14.50%,34.25
16,1297470357,Murdahewrote18,0,333.25,PF LaMarcus Aldridge UTIL Nikola Vucevic PG Zach LaVine SF Jabari Parker C Tristan Thompson G Justin Holiday SG Eric Gordon F Rodney Hood,,Clint Capela,C,14.50%,46.5
17,1297797813,momentous10,0,332.75,PF LaMarcus Aldridge C Nikola Vucevic F Nikola Mirotic SF Jabari Parker PG Jeff Teague G Jeremy Lamb SG Eric Gordon UTIL Markieff Morris,,Klay Thompson,SG,14.00%,43.25
18,1297958840,nnamdioz,0,331.5,PG James Harden C Clint Capela PF Domantas Sabonis UTIL Jabari Parker G Justin Holiday SF Eric Gordon SG Marcus Smart F Kevon Looney,,Gordon Hayward,F,14.00%,19
19,1297779830,hulk2066,0,328.75,PG James Harden C Clint Capela SF Jabari Parker F Andrew Wiggins PF Otto Porter Jr. SG Eric Gordon G Terrence Ross UTIL Jonas Jerebko,,Julius Randle,F,13.00%,26.75
20,1297441743,wysiwyg86,0,327.75,PF Anthony Davis C Clint Capela UTIL Nikola Vucevic PG Malcolm Brogdon G Justin Holiday SF Eric Gordon F Jae Crowder SG Terry Rozier,,Jayson Tatum,SF,13.00%,38.75
21,1297573635,Elias79e,0,325.75,SG James Harden PG Ricky Rubio PF Jayson Tatum SF Andrew Wiggins C Myles Turner UTIL Marcus Morris F Eric Gordon G Bojan Bogdanovic,,Giannis Antetokounmpo,SF,12.50%,59.25
22,1297842098,d_scott87,0,325.5,SG James Harden C Karl-Anthony Towns UTIL Nikola Vucevic SF Eric Gordon F Bojan Bogdanovic G Terrence Ross PF Davis Bertans PG Aaron Holiday,,Evan Fournier,G,12.50%,15.25
23,1297439121,Chevybbr2,0,324.75,SF Kevin Durant PG Kyrie Irving C Tristan Thompson F Jeremy Lamb PF Otto Porter Jr. G Justin Holiday SG Marcus Smart UTIL Cody Zeller,,Ricky Rubio,PG,12.00%,22.75
