Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1299111451,ebruger,0,296.75,SF Josh Richardson C Deandre Ayton PF Domantas Sabonis PG Trae Young F Noah Vonleh UTIL Myles Turner SG Reggie Jackson G Bojan Bogdanovic,,LeBron James,SF,41.03%,31.75
2,1299149420,tweni20,0,286,PF Kawhi Leonard C Marc Gasol PG Trae Young SF Brandon Ingram UTIL Myles Turner SG Reggie Jackson G Bojan Bogdanovic F Mason Plumlee,,Nikola Jokic,C,41.03%,36.75
3,1298883460,joel5,0,274,PF LeBron James PG Devin Booker G Jamal Murray C Domantas Sabonis SF Tim Hardaway Jr. UTIL Allonzo Trier SG Josh Hart F Doug McDermott,,Andre Drummond,C,33.33%,27
4,1298797159,AngelpMartinez,0,266.75,SF Kawhi Leonard C Marc Gasol PG Mike Conley SG Jamal Murray PF Kyle Kuzma F Juancho Hernang?mez G Allonzo Trier UTIL Greg Monroe,,Bojan Bogdanovic,F,33.33%,21.25
5,1299373607,Bro0227,0,257,UTIL Andre Drummond PF Blake Griffin C Enes Kanter F Domantas Sabonis G Trey Burke PG Darren Collison SG Wayne Ellington SF James Johnson,,Blake Griffin,PF,30.77%,41.5
6,1299271267,Coleman13C,0,250.25,UTIL Nikola Jokic SF Josh Richardson G Jamal Murray C Enes Kanter SG Tim Hardaway Jr. F Tyreke Evans PG Justise Winslow PF Thaddeus Young,,Tim Hardaway Jr.,SF,30.77%,35
7,1299126991,ghbaker,0,246.75,SF LeBron James PF Kawhi Leonard PG Trae Young C Myles Turner SG Dwyane Wade F Kyle Kuzma G Garrett Temple UTIL Vince Carter,,Jamal Murray,SG,28.21%,29.25
8,1298943218,Plloyd04,0,246.25,SF Kawhi Leonard G Jamal Murray F Domantas Sabonis C John Collins UTIL T.J. Warren PG Lonzo Ball SG Bojan Bogdanovic PF JaMychal Green,,Thaddeus Young,PF,25.64%,25
9,1299235202,respexkoins,0,245.25,SF LeBron James SG Devin Booker F Tim Hardaway Jr. G Brandon Ingram PG Reggie Jackson PF Kyle Kuzma C Bam Adebayo UTIL Malik Beasley,,Justise Winslow,SF,25.64%,18.75
10,1299077999,krich14,0,244,F LeBron James C Enes Kanter PF Domantas Sabonis G Tim Hardaway Jr. UTIL Noah Vonleh SG Dwyane Wade PG Justise Winslow SF DeAndre' Bembry,,Domantas Sabonis,PF,23.08%,48
11,1298918546,Mossy5555,0,243.75,PF Blake Griffin C Nikola Jokic SG Jamal Murray F Domantas Sabonis SF Tim Hardaway Jr. G Monte Morris UTIL Thaddeus Young PG Aaron Holiday,,Trey Burke,PG,23.08%,7.25
12,1299244441,Mr.Shuttlesworth,0,237,C Andre Drummond UTIL Nikola Jokic G Mike Conley PF Domantas Sabonis F Bojan Bogdanovic PG Darren Collison SF Justise Winslow SG Kentavious Caldwell-Pope,,Devin Booker,SG,20.51%,42
13,1299184789,Deramps,0,236.25,C Andre Drummond PF Blake Griffin UTIL Nikola Jokic SF Taurean Prince G Bojan Bogdanovic PG Justise Winslow SG Wayne Ellington F Garrett Temple,,Noah Vonleh,PF,20.51%,22.25
14,1299200519,petermao,0,232,C Andre Drummond SG Devin Booker UTIL Mike Conley SF Tim Hardaway Jr. PF Noah Vonleh PG Darren Collison F DeAndre' Bembry G Kentavious Caldwell-Pope,,Darren Collison,PG,20.51%,35.75
15,1299053571,OnMyOwn,0,229.5,UTIL Nikola Jokic C Deandre Ayton G Jamal Murray PG Trae Young F Tim Hardaway Jr. PF Pascal Siakam SG Trey Burke SF Lance Stephenson,,Kyle Kuzma,PF,17.95%,30.75
16,1299132762,crams,0,229.25,C Andre Drummond UTIL Devin Booker SG Josh Richardson PG Jamal Murray F Kyle Anderson G Cory Joseph PF Thaddeus Young SF DeAndre' Bembry,,Pascal Siakam,UTIL,15.38%,25
17,1299170815,Christian_Nonol,0,227.75,SF LeBron James PF Blake Griffin SG Jamal Murray C Myles Turner F Kyle Kuzma PG Jeremy Lin UTIL DeAndre' Bembry G Josh Hart,,Dwyane Wade,PG,15.38%,25.75
18,1299283835,mfernbach,0,225.5,F Blake Griffin C Nikola Jokic UTIL John Collins G Lonzo Ball PF Noah Vonleh SG Kent Bazemore SF Rodney McGruder PG Darren Collison,,Lonzo Ball,PG,15.38%,16.75
19,1299220207,BrandanErhard215,0,224.25,C Andre Drummond UTIL Nikola Jokic PG Kyle Lowry PF Paul Millsap G Bojan Bogdanovic SG Jeremy Lin F Justise Winslow SF Thaddeus Young,,Kawhi Leonard,SF,12.82%,44.5
20,1299285155,kce181310J,0,223.5,SF LeBron James F Josh Richardson PF Domantas Sabonis G Brandon Ingram C JaVale McGee PG Reggie Jackson SG Dwyane Wade UTIL Moritz Wagner,,Reggie Jackson,G,12.82%,33.75
21,1299159516,DoctorDave5,0,222.25,PF Blake Griffin C Nikola Jokic SG Tim Hardaway Jr. F Jaren Jackson Jr. PG Lonzo Ball UTIL Kyle Kuzma G Darren Collison SF Justise Winslow,,Enes Kanter,C,12.82%,42
22,1299264082,imdirtydan1796,0,220.25,UTIL Andre Drummond PF Blake Griffin C Nikola Jokic SG Bojan Bogdanovic PG Jeremy Lin G Darren Collison SF Thaddeus Young F James Johnson,,Brandon Ingram,G,12.82%,21
23,1298905235,westgaboy18,0,217.75,SF LeBron James SG Tim Hardaway Jr. C John Collins F Pascal Siakam UTIL Paul Millsap PF Noah Vonleh PG Kyle Anderson G Reggie Bullock,,Myles Turner,UTIL,12.82%,45.75
24,1299111279,brysonc35,0,217.25,PF Blake Griffin C Nikola Jokic UTIL Deandre Ayton G Brandon Ingram SG Gary Harris SF Bojan Bogdanovic PG Darren Collison F Thaddeus Young,,Tyreke Evans,G,10.26%,17
24,1299242281,imsavannaah,0,217.25,C Andre Drummond PF Blake Griffin UTIL Nikola Jokic SG Rodney McGruder G Trey Burke PG Darren Collison SF Justise Winslow F Thaddeus Young,,Rodney McGruder,F,10.26%,25.25
26,1298842938,doofydoo19,0,215.5,UTIL Andre Drummond C Nikola Jokic SG Jamal Murray PF Domantas Sabonis F Rodney McGruder PG Trey Burke SF Justise Winslow G Monte Morris,,Jaren Jackson Jr.,F,10.26%,7
27,1299152954,smithcr1,0,212.25,PF Blake Griffin UTIL Nikola Jokic C Enes Kanter G Tim Hardaway Jr. SG Gary Harris F Taurean Prince PG Justise Winslow SF Mikal Bridges,,Trae Young,PG,10.26%,43.25
28,1298722053,Slags68,0,210.5,SF LeBron James SG Devin Booker UTIL Pascal Siakam F Serge Ibaka PG Dwyane Wade G Cory Joseph C Bam Adebayo PF Thaddeus Young,,DeAndre' Bembry,SF,10.26%,20.5
29,1299360470,Derulo14,0,208.25,C Andre Drummond SG Jamal Murray SF Tim Hardaway Jr. F Jaren Jackson Jr. G Lonzo Ball UTIL Myles Turner PF Kyle Kuzma PG Cory Joseph,,Josh Richardson,SF,10.26%,46.5
30,1299122484,MrStealYoBands,0,205.5,UTIL Marc Gasol C Nikola Jokic PF Pascal Siakam G Lonzo Ball PG Dwyane Wade SF Trevor Ariza SG Tyreke Evans F Bojan Bogdanovic,,Jeremy Lin,PG,10.26%,15.25
31,1299231328,quen10crockett,0,204,PG Devin Booker C Hassan Whiteside F Pascal Siakam G Brandon Ingram PF Noah Vonleh UTIL JaVale McGee SG Tyreke Evans SF Kyle Kuzma,,Cory Joseph,G,7.69%,16.75
32,1299334553,Acuvigor,0,197.75,SF LeBron James UTIL Nikola Jokic C Enes Kanter F Noah Vonleh SG Bojan Bogdanovic PG Trey Burke G Justise Winslow PF James Johnson,,Bam Adebayo,C,7.69%,21
33,1298903613,j3mayo,0,196.25,UTIL LeBron James C Andre Drummond G Jamal Murray SG Dwyane Wade F Bojan Bogdanovic PG Trey Burke SF Thaddeus Young PF Mason Plumlee,,Marc Gasol,C,7.69%,47.5
